"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"548849";"Duisburg";10;10;10;10;10;10;8;10;5;8;10;10;8;5;5;10;5;5;5;5;60;200;700;100;100;50;5;6;8;8;5;4;5;5;8;0;6;10;5;5;8;8;8;8;6;8;8;7;8;6;6;10;8;6;10;10;8;8;0;10;0;10;10;10;0;10;0;10;10;10;10;10;10;10;10;10;0;10;10;10;10;10;10;10;10;6;8;2;5;6;5;3;4;3;1;3;1;1;1;5;7;5;6;3;5;1;7;1;3;2;1;5;1;1;2;3;1;7;5;7;68;2;5;1;1;2;"46539";NA
"551191";"Duisburg";6;8;7;8;8;7;6;9;9;10;8;10;7;10;4;10;7;6;0;0;NA;NA;NA;NA;NA;NA;5;8;6;5;3;0;5;10;5;5;6;0;5;5;2;5;5;8;8;9;9;8;8;10;0;10;8;7;6;8;9;9;0;7;0;5;5;0;0;7;0;8;8;9;8;10;7;6;2;9;0;10;8;7;7;8;7;8;3;0;1;0;0;0;0;3;4;3;4;2;1;2;1;3;2;4;6;4;5;5;2;1;2;5;3;3;2;1;5;2;5;4;2;5;41;1;3;2;3;2;"47623";1
"552219";"Duisburg";10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;8;10;8;9;300;350;950;150;350;150;8;10;7;9;8;9;8;10;8;10;10;10;10;9;8;9;9;10;8;5;8;8;10;10;8;10;8;10;10;8;8;10;9;9;6;9;10;10;10;9;10;9;9;6;9;3;10;8;9;10;6;4;6;8;10;10;8;9;10;0;8;0;8;8;10;2;4;4;6;6;2;4;4;4;6;7;7;2;5;7;1;1;5;6;1;1;1;4;4;2;2;3;1;4;37;1;3;3;3;1;"47057";1
"551057";"Duisburg";8;10;10;10;10;8;8;7;8;6;7;9;5;9;7;8;10;5;6;8;100;300;200;100;150;50;7;5;8;4;8;5;10;7;1;8;8;9;9;10;7;7;9;6;9;8;9;7;7;7;8;8;5;5;7;10;10;10;2;4;0;1;3;4;1;8;3;5;7;3;9;8;5;4;5;7;5;7;2;0;3;8;8;7;10;4;3;0;8;7;6;3;7;5;3;3;5;5;2;7;7;7;6;2;5;4;7;4;6;5;5;5;3;5;5;6;7;7;5;6;67;1;5;1;NA;2;"47443";NA
"553823";"Duisburg";5;5;6;5;5;4;4;3;4;4;3;4;5;6;6;6;6;4;4;5;100;400;600;100;100;50;3;4;3;3;4;4;5;6;3;5;7;7;4;4;4;7;7;8;8;8;8;5;4;8;8;7;3;5;4;5;5;5;1;5;2;5;0;0;0;10;0;10;10;10;10;10;10;7;2;8;8;7;3;5;5;9;9;9;8;0;0;0;0;0;3;3;7;7;5;5;1;6;4;1;5;4;5;4;4;3;3;3;3;4;2;2;3;3;3;2;2;4;5;5;54;1;3;1;2;1;"47279";2
"547299";"Duisburg";9;8;10;9;8;8;9;10;9;6;7;10;5;7;7;10;7;7;7;6;50;300;550;100;100;30;3;6;6;8;7;8;8;8;6;8;9;8;9;7;7;7;8;7;7;7;8;9;7;8;7;7;8;7;8;8;7;8;10;10;8;10;10;10;7;8;10;7;6;8;8;8;8;7;5;6;6;1;7;2;4;8;7;7;10;8;9;0;5;2;8;3;6;5;3;3;1;5;1;4;7;7;5;4;6;4;2;2;3;4;2;2;2;4;5;4;5;4;2;4;23;2;2;1;1;1;"40476";1
"547299";"Duisburg";3;3;4;5;3;1;2;0;0;0;1;4;0;1;0;2;4;0;0;0;0;500;600;500;300;50;0;0;0;0;0;0;6;3;5;5;3;7;2;2;3;8;8;9;3;7;8;3;5;8;5;8;7;0;8;0;5;8;0;8;3;5;0;5;2;2;3;5;3;10;5;10;7;2;0;10;5;0;5;0;8;0;5;2;2;0;0;1;0;5;0;3;7;6;7;7;2;6;3;6;7;2;7;7;6;6;2;5;4;7;6;5;2;1;2;1;6;5;6;6;26;1;2;4;2;1;"47443";NA
"537631";"Duisburg";8;7;7;10;7;6;6;5;0;0;5;5;5;2;NA;5;2;2;4;NA;NA;150;100;50;20;NA;NA;4;2;5;6;NA;8;8;3;6;7;7;7;6;3;8;8;7;7;8;8;6;5;9;7;9;9;7;8;10;10;10;NA;NA;NA;NA;0;0;0;5;0;7;7;9;9;9;9;5;0;8;0;NA;7;0;9;10;10;7;10;0;0;0;0;0;0;3;6;2;4;4;5;6;6;7;7;4;6;1;1;2;1;1;1;3;3;1;1;1;1;1;3;5;2;5;89;1;5;1;1;1;"46145";NA
"551504";"Duisburg";9;9;9;8;7;9;6;8;7;7;6;10;5;6;7;8;6;5;9;8;50;170;310;30;60;10;8;7;6;9;7;7;8;8;6;7;6;6;5;5;4;7;6;7;7;6;7;6;7;8;6;8;8;5;7;8;7;9;10;6;0;10;2;3;2;2;0;7;5;7;6;6;8;4;4;8;4;9;7;1;5;8;6;7;10;1;2;0;0;0;0;3;4;4;3;2;3;5;3;7;6;6;5;2;2;2;3;2;1;4;3;2;3;3;4;2;1;6;4;6;71;1;5;1;1;2;"47119";NA
"548533";"Duisburg";5;10;10;10;8;8;8;2;3;3;8;8;5;2;8;8;5;5;1;8;100;200;350;50;0;40;7;0;7;1;0;5;8;8;7;9;5;5;5;7;7;2;5;8;8;8;8;8;5;3;3;9;9;5;5;9;9;8;1;3;0;0;5;5;5;5;0;0;3;8;8;8;8;1;0;1;0;0;9;0;0;9;9;8;10;2;2;0;10;0;0;3;7;4;1;1;1;2;2;7;7;7;5;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;2;1;85;1;5;1;2;2;"46446";NA
