"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"542783";"Aachen";8;8;8;8;8;8;6;10;10;8;8;10;7;10;8;10;8;8;8;8;120;120;50;150;100;25;6;7;6;6;6;8;8;8;6;8;7;7;5;5;5;10;10;8;8;8;8;7;5;10;8;8;10;5;8;10;10;10;4;8;4;4;5;5;5;10;8;8;8;6;6;8;8;6;4;10;8;7;8;5;5;10;10;8;9;4;4;4;0;0;5;3;5;4;2;2;1;5;4;6;4;5;5;7;7;7;5;5;5;5;5;5;6;5;5;2;7;5;4;5;25;2;3;3;4;2;"52146";1
"548531";"Aachen";9;9;9;9;8;7;8;8;8;8;7;9;5;6;8;10;9;4;5;2;17;25;0;5;12;5;9;7;7;9;9;8;8;9;4;8;9;5;8;6;3;8;7;6;6;6;6;8;5;7;5;9;5;4;7;7;7;7;7;9;0;8;4;9;2;5;1;5;8;8;1;8;5;8;0;6;4;10;5;0;7;8;5;7;7;3;3;0;1;5;8;3;4;3;4;2;3;5;2;6;3;7;6;1;1;5;5;2;3;4;1;2;4;5;2;2;2;6;2;6;18;1;1;5;1;3;"52146";NA
"549105";"Aachen";5;6;6;5;5;4;5;3;3;3;3;3;3;3;4;4;4;4;4;4;100;150;500;200;100;75;5;5;5;5;5;5;8;8;8;8;8;8;7;7;7;6;5;7;6;5;8;7;7;7;7;NA;6;5;5;6;6;6;5;6;6;5;5;5;4;4;4;4;6;6;6;6;6;6;5;5;5;5;4;4;4;6;6;6;8;6;6;7;5;6;7;3;5;6;5;5;6;6;6;3;5;4;5;5;4;4;4;5;4;4;5;3;4;4;5;4;4;4;4;4;32;2;3;3;2;1;"52074";1
"547439";"Aachen";4;4;1;3;3;2;2;3;3;2;1;9;1;10;1;4;2;1;3;3;50;200;500;200;100;100;2;4;3;2;5;1;9;9;5;10;6;6;5;8;0;10;10;8;8;9;3;7;4;9;9;3;2;1;4;5;5;4;1;0;0;2;0;0;0;3;4;5;9;6;6;9;7;1;1;2;8;3;4;2;2;9;3;4;10;0;0;0;0;0;0;3;5;5;4;6;4;5;4;6;7;2;6;6;6;4;3;7;3;7;5;5;4;3;5;3;5;7;3;7;18;1;1;2;1;1;"52078";NA
"551398";"Aachen";10;10;9;10;9;10;8;10;7;8;9;10;7;9;6;10;8;6;7;6;50;50;0;50;50;100;7;2;6;7;5;4;5;8;4;8;5;5;3;7;3;8;8;8;7;9;10;8;6;8;7;8;8;7;9;10;7;8;10;8;0;5;7;6;2;6;0;8;8;8;4;10;10;8;4;7;7;10;6;6;6;10;4;6;9;4;6;0;4;5;5;3;4;3;2;2;1;5;6;5;3;6;4;2;2;2;5;5;3;5;2;3;1;5;5;5;1;2;2;4;15;1;1;2;1;3;"52459";NA
"551402";"Aachen";5;5;6;5;5;4;4;5;6;5;4;4;3;4;3;4;4;2;3;2;150;200;800;200;100;50;3;2;3;1;2;3;7;4;3;5;5;6;5;4;8;6;5;4;6;5;4;5;8;6;5;7;4;5;6;5;5;6;4;3;4;2;3;2;4;4;5;4;5;3;4;5;3;4;5;3;4;5;3;5;4;4;3;2;3;5;4;2;3;3;2;3;6;6;5;4;3;5;4;2;3;5;4;5;6;5;5;4;5;4;4;4;3;5;6;6;5;7;5;6;51;2;3;3;3;2;"52146";2
"551398";"Aachen";8;8;9;8;8;10;6;7;4;4;6;10;3;5;6;8;7;7;6;7;150;400;400;200;200;100;2;4;5;5;3;6;9;10;8;7;7;7;3;7;6;10;10;8;8;10;9;8;7;8;8;9;10;6;7;10;8;9;3;6;0;4;1;4;0;5;2;8;8;5;6;8;7;6;3;6;5;4;6;2;5;10;4;8;9;0;2;0;0;0;0;3;6;5;5;5;1;5;4;5;6;6;5;5;6;5;3;4;2;6;4;4;3;5;6;6;5;6;3;6;26;1;3;3;2;2;"52249";1
"534718";"Aachen";9;9;10;10;10;8;8;10;10;8;9;9;3;10;9;7;7;5;8;3;100;650;200;250;100;50;5;3;3;3;2;8;9;10;0;5;5;5;3;3;1;10;10;4;3;8;9;2;3;9;9;7;9;6;9;10;10;9;9;9;0;8;3;1;1;10;1;10;10;3;3;6;9;2;2;9;5;5;5;5;3;10;10;7;10;3;3;1;1;2;1;3;7;7;6;6;1;7;5;7;7;7;5;6;7;4;2;5;2;7;5;2;5;1;5;1;6;6;7;7;42;2;4;1;1;1;"40210";NA
"551407";"Aachen";10;8;10;10;7;7;9;9;7;4;4;10;2;4;3;10;3;6;4;9;100;180;0;170;150;100;1;9;2;8;0;7;10;8;4;9;10;10;10;10;5;10;8;10;10;8;10;6;10;10;10;10;5;5;10;10;5;0;3;4;0;0;10;10;4;10;5;7;6;3;10;6;1;1;0;6;6;7;0;0;4;5;0;0;10;10;10;0;10;7;10;1;7;6;3;1;1;4;1;7;6;7;7;7;7;7;1;1;6;7;6;3;6;2;4;1;6;6;1;6;39;2;3;1;1;2;"52249";1
"555140";"Aachen";10;10;9;9;10;10;10;9;10;10;8;10;9;10;8;8;9;9;6;8;100;300;500;50;100;20;8;8;8;9;7;7;9;10;0;0;0;0;0;9;8;9;10;10;8;10;10;9;6;7;9;2;9;9;6;10;10;10;10;10;0;0;0;0;0;10;9;10;10;10;7;10;10;10;7;6;10;5;10;10;5;10;10;10;8;5;4;0;0;0;0;3;6;6;1;1;7;7;3;7;7;6;6;3;2;1;7;7;5;3;1;1;1;1;1;1;1;1;7;7;65;1;5;1;1;2;"52499";NA
