"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"553673";"Frankfurt a. M.";10;10;10;10;10;10;10;9;9;6;6;10;6;10;7;10;8;7;8;5;350;500;2000;400;200;150;4;5;4;4;4;4;10;10;9;10;10;9;8;8;8;10;10;9;9;9;9;9;9;10;7;10;10;8;8;9;9;9;7;6;0;6;10;10;0;8;8;8;7;7;4;5;5;7;0;10;0;7;10;6;2;10;2;7;10;3;5;0;3;3;0;1;6;6;7;7;1;3;2;5;7;6;6;7;7;6;1;1;1;7;2;2;2;2;6;2;7;3;1;4;38;2;3;NA;4;3;"63755";2
"551365";"Frankfurt a. M.";10;10;10;10;10;10;10;8;8;8;8;8;8;8;5;10;7;5;9;8;NA;NA;NA;NA;NA;NA;5;0;2;2;6;7;9;9;4;10;6;6;6;7;3;8;8;7;7;9;9;8;5;9;9;10;10;7;10;10;10;10;2;3;0;0;4;4;1;7;1;10;10;3;3;10;9;5;2;9;0;8;9;0;8;10;10;10;10;2;0;0;0;0;0;3;6;1;1;1;6;2;7;5;7;7;7;1;5;4;1;1;1;6;1;1;1;1;1;1;1;3;1;3;77;1;5;3;NA;3;NA;NA
"522631";"Frankfurt a. M.";10;10;10;10;9;10;10;10;8;10;10;10;7;10;3;8;5;8;8;5;200;300;200;50;50;50;4;0;5;8;1;5;10;10;10;10;10;7;8;5;0;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;7;0;5;3;8;0;5;0;3;9;0;0;8;7;6;3;8;9;10;7;1;4;10;9;7;5;0;8;0;0;0;0;3;5;2;1;1;3;6;3;4;6;5;3;2;2;4;6;6;2;6;4;3;3;2;4;5;3;5;2;5;53;1;3;1;2;3;"67697";1
"544865";"Frankfurt a. M.";8;8;9;9;7;8;7;10;7;6;8;8;6;8;7;9;8;7;8;7;40;400;300;150;300;80;5;5;5;7;6;5;8;8;8;8;5;3;3;2;9;8;9;8;8;9;8;9;9;9;9;3;8;10;8;10;10;8;0;2;0;3;1;0;0;0;0;3;6;0;4;7;6;6;2;7;7;7;7;1;5;9;9;4;9;0;0;0;0;0;0;3;3;3;2;2;3;2;1;5;2;5;4;4;5;1;2;4;2;3;2;2;2;2;3;2;1;2;3;4;46;2;3;1;4;4;"57482";2
"551178";"Frankfurt a. M.";10;10;10;8;10;10;7;7;10;6;10;10;5;10;7;8;5;4;6;5;10;80;0;0;40;5;7;5;5;10;4;4;10;10;7;7;8;5;8;4;3;10;8;7;5;5;2;6;10;10;10;8;10;3;10;8;7;10;10;10;0;10;4;6;0;5;6;4;7;8;3;8;0;2;4;4;0;6;4;0;10;10;3;9;7;0;0;0;0;4;0;3;5;4;3;2;6;5;6;5;4;5;7;1;2;1;3;1;1;3;3;1;1;2;5;1;2;1;1;4;26;1;3;1;2;2;"55122";1
"554390";"Frankfurt a. M.";6;6;4;6;7;7;5;8;5;7;7;9;5;6;5;8;6;3;4;3;450;300;1200;20;100;100;3;6;5;3;8;7;3;8;6;9;3;3;0;6;5;6;8;7;3;8;10;3;0;7;3;4;7;4;6;8;8;8;0;8;0;8;0;0;0;9;0;10;7;9;0;10;10;0;0;9;4;6;10;0;0;9;2;10;4;7;1;0;0;0;0;3;6;6;5;6;5;7;5;5;7;5;3;2;5;5;7;6;2;6;1;3;3;5;5;3;3;5;5;6;59;1;3;5;2;4;"63674";1
"548117";"Frankfurt a. M.";10;10;10;10;10;8;6;4;5;5;5;10;7;0;10;7;10;5;10;7;120;180;650;5;30;15;2;2;3;8;5;5;10;10;8;9;7;8;5;4;6;7;7;4;4;5;5;4;7;7;8;4;7;8;9;10;10;10;3;4;0;4;3;5;2;1;4;7;8;7;7;5;5;6;2;2;3;6;2;4;8;8;8;8;10;7;6;0;0;3;1;3;7;7;3;2;4;4;5;4;5;3;3;3;5;5;3;5;3;5;5;3;1;5;5;3;2;3;5;6;68;2;5;3;1;2;"63225";NA
"551676";"Frankfurt a. M.";4;3;5;6;7;4;3;3;4;5;7;4;3;1;3;5;9;10;9;8;100;500;2000;200;200;100;6;8;10;10;10;10;0;10;0;10;0;10;10;0;8;7;8;8;4;5;6;7;3;5;7;4;6;3;9;5;8;3;0;10;2;2;2;8;8;2;6;6;4;6;2;4;3;9;1;4;3;2;4;2;7;3;5;8;10;5;6;7;4;5;3;3;7;5;3;5;6;3;5;3;5;2;1;7;7;7;7;4;5;3;4;4;5;3;3;4;4;3;3;3;33;1;3;1;4;2;"63500";2
"547984";"Frankfurt a. M.";10;8;8;8;8;8;8;7;7;8;6;10;6;8;0;5;1;4;5;3;35;130;400;20;100;20;0;6;2;4;3;3;8;8;6;8;7;6;5;6;6;8;8;6;6;7;6;7;6;7;7;8;7;7;8;9;6;6;10;5;3;10;4;8;1;5;3;4;4;5;9;7;7;5;3;7;7;6;7;5;6;7;3;6;7;0;1;0;0;5;0;3;7;6;2;3;1;2;3;2;4;5;6;1;4;6;2;5;2;6;3;5;3;7;5;2;4;6;3;5;23;1;2;5;1;1;"65187";NA
"551241";"Frankfurt a. M.";10;10;10;10;8;10;8;10;8;10;10;10;8;10;0;10;5;10;10;10;0;400;1000;300;250;45;5;10;5;8;10;5;10;10;10;10;10;0;0;10;0;10;10;10;10;10;10;10;10;10;6;10;10;10;10;10;10;10;3;10;3;10;5;0;0;10;0;10;10;10;10;10;10;10;10;10;0;10;0;0;10;10;10;10;10;0;0;0;0;0;0;3;7;7;1;1;1;7;1;7;7;7;7;7;7;7;1;1;1;7;5;5;1;5;6;1;7;7;5;5;57;2;3;1;1;1;"60385";1
