"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"548544";"Dortmund";8;5;6;9;8;10;5;10;10;10;8;10;2;0;0;0;0;10;5;0;50;120;430;100;10;50;10;0;0;0;0;0;10;10;8;10;8;10;0;10;10;10;10;9;0;0;10;10;10;8;0;10;8;0;0;10;10;4;10;10;0;10;3;5;0;10;8;10;10;9;0;3;5;10;10;3;0;8;8;0;0;10;10;4;10;0;0;0;0;0;0;3;7;7;1;1;5;6;1;7;7;7;7;7;6;7;1;5;3;7;7;3;7;7;1;1;7;6;5;7;71;2;5;3;1;1;"44328";NA
"546775";"Dortmund";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;200;800;600;100;200;50;10;10;10;10;10;10;10;10;6;10;7;7;7;7;7;7;7;9;9;9;9;9;6;6;6;6;6;6;6;7;7;7;10;10;0;10;7;7;3;6;4;8;8;9;9;9;9;6;5;8;2;10;7;2;8;10;9;8;8;6;6;4;3;3;4;3;5;4;3;4;4;6;4;5;5;5;4;3;4;4;5;5;6;6;4;5;4;3;2;3;3;5;3;5;66;1;5;2;3;2;"44534";NA
"549125";"Dortmund";10;7;6;10;10;10;8;10;8;6;10;10;6;9;6;9;8;7;5;3;95;130;0;100;80;15;9;8;7;6;6;7;6;9;4;7;10;7;3;4;7;7;6;4;6;3;8;4;4;6;4;8;3;2;4;6;4;4;10;10;0;10;10;7;6;8;10;7;4;10;5;6;6;6;4;7;8;2;6;2;7;9;4;6;6;9;8;0;7;8;7;1;7;6;3;3;1;4;5;6;5;7;6;1;5;3;5;2;3;6;2;1;1;3;5;2;2;4;6;5;21;1;3;2;1;1;"44339";1
"543121";"Dortmund";8;6;8;7;6;10;6;8;4;4;8;10;1;10;2;4;2;3;3;1;300;300;1200;100;150;10;1;4;2;1;3;1;8;9;6;8;6;6;3;7;0;8;8;6;6;7;9;3;1;5;5;8;6;5;6;6;6;6;0;0;0;0;4;4;1;4;0;5;5;3;6;9;9;6;1;5;4;10;8;1;6;8;8;4;9;4;1;0;0;0;0;3;6;5;7;7;4;7;4;7;6;2;2;1;1;1;2;1;1;2;2;2;2;3;1;1;2;4;5;2;66;1;5;1;2;1;"44357";NA
"549168";"Dortmund";3;6;6;7;8;7;5;9;6;8;8;10;5;7;9;7;7;5;7;5;350;200;500;150;150;150;1;5;5;4;4;5;5;10;6;8;6;4;5;5;3;6;5;6;3;6;5;5;5;7;6;7;7;6;6;8;9;9;0;5;0;3;4;10;7;8;0;3;5;5;0;4;5;4;4;6;7;5;5;5;5;7;5;7;10;0;0;0;0;0;0;3;6;4;2;4;1;7;4;4;5;4;6;3;7;4;2;4;5;6;3;4;4;5;6;5;1;3;3;5;24;1;3;1;2;1;"44388";1
"551697";"Dortmund";10;10;10;10;10;10;10;10;10;10;10;10;7;10;10;10;10;10;10;10;45;400;80;0;0;0;7;7;8;10;10;10;10;10;10;10;5;5;5;5;6;10;10;10;5;10;10;8;10;10;10;10;10;10;10;10;10;10;8;5;0;5;7;7;7;0;0;7;7;10;8;10;10;7;5;8;10;8;10;10;10;10;10;9;10;5;4;5;2;2;5;3;6;4;3;3;4;3;3;5;4;7;7;1;3;1;5;4;4;5;4;1;1;1;5;3;4;4;6;6;55;2;3;1;2;1;"44287";3
"537691";"Dortmund";0;4;4;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50;10;350;50;40;20;0;0;0;0;0;0;5;8;5;3;0;3;0;0;0;8;8;8;0;5;8;10;0;0;10;10;10;10;10;0;2;10;0;10;0;5;0;0;0;0;0;0;5;5;0;0;5;0;0;0;10;8;10;10;10;8;8;8;0;0;0;0;0;3;0;3;4;2;5;4;1;6;3;7;2;1;6;1;1;7;1;1;1;7;3;1;2;1;1;2;1;1;5;7;50;1;3;2;2;4;"59556";1
"550930";"Dortmund";10;10;10;10;10;10;9;10;8;10;10;10;8;10;5;10;5;10;8;0;100;300;500;50;100;0;5;0;5;5;5;10;10;10;10;10;5;5;5;10;5;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;5;0;0;10;0;10;10;10;5;10;0;5;5;5;10;4;10;0;0;10;10;5;10;6;6;10;0;0;4;3;3;3;1;1;1;1;1;2;2;3;5;1;7;7;1;1;1;4;1;1;1;7;7;7;7;1;3;1;54;2;3;3;NA;1;"44287";1
"551574";"Dortmund";9;7;8;8;8;9;8;9;6;8;6;9;6;9;4;5;5;5;4;5;40;50;0;60;50;50;4;4;5;5;2;2;7;8;7;8;5;5;5;4;3;7;7;4;4;5;5;7;5;5;6;6;5;5;5;6;6;6;4;4;6;4;2;10;2;6;3;6;7;3;1;4;3;4;4;6;4;1;5;4;2;9;7;7;4;1;1;1;1;1;1;3;6;6;3;3;2;6;1;3;4;4;4;3;5;6;4;5;3;3;1;2;1;2;3;2;4;5;3;5;17;2;1;5;1;1;"45665";NA
"550482";"Dortmund";8;7;8;10;6;5;5;10;6;8;9;10;5;10;2;3;2;2;3;3;20;70;600;30;0;10;2;2;2;3;3;3;10;10;7;8;9;8;8;9;8;8;8;7;8;8;9;9;7;7;8;8;7;9;8;7;8;8;10;0;0;8;8;7;7;8;8;8;8;7;7;7;8;8;6;7;7;7;6;8;7;6;NA;NA;10;0;2;0;1;1;0;3;6;3;1;1;4;7;7;7;6;1;6;3;4;6;3;4;5;7;2;1;2;2;1;2;4;4;6;7;79;2;5;2;1;1;"44287";NA
