"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"549063";"Stuttgart";8;8;7;7;6;7;7;9;8;8;9;10;7;10;7;8;7;6;6;7;200;150;90;40;100;50;5;5;7;8;5;8;9;9;9;9;10;9;8;7;6;8;8;9;9;9;8;8;8;9;7;10;9;8;6;9;8;9;6;6;2;3;6;6;4;7;5;8;8;4;6;6;7;7;6;8;4;8;9;2;4;10;8;9;7;3;5;3;4;2;6;1;2;2;1;1;4;3;2;5;3;4;2;2;2;3;6;2;3;6;1;1;1;2;2;2;2;6;4;3;37;2;4;1;1;3;"73614";NA
"553005";"Stuttgart";8;10;10;5;10;10;7;8;2;9;10;10;8;10;2;8;8;9;0;8;100;400;0;200;500;0;5;7;5;7;2;10;5;5;7;2;5;5;2;8;0;10;10;10;8;10;10;10;10;10;5;10;5;3;8;10;10;7;10;3;0;2;7;5;0;10;0;10;10;10;8;7;8;3;8;5;0;5;5;0;5;10;10;3;8;3;8;0;0;3;3;3;7;4;1;3;6;6;5;5;7;3;7;5;5;6;1;2;2;6;2;1;2;5;1;4;2;2;2;5;47;2;3;1;2;3;"70199";1
"547949";"Stuttgart";9;8;10;7;6;10;10;10;6;7;10;10;2;7;9;10;6;3;8;8;25;100;0;100;40;50;9;10;10;1;3;7;10;8;6;5;8;2;10;10;3;7;7;10;10;9;7;9;7;6;5;4;3;6;8;5;6;10;8;2;0;0;10;9;9;9;8;10;8;8;2;3;6;5;8;2;5;3;0;0;0;10;1;5;10;10;2;0;8;2;0;1;6;7;2;2;1;6;4;7;2;5;2;3;5;1;1;5;7;5;6;6;5;7;4;4;6;2;5;2;12;2;1;5;1;1;"70439";NA
"528707";"Stuttgart";10;10;10;8;10;8;8;10;7;10;7;10;5;8;5;10;5;8;2;2;300;200;200;0;100;50;5;5;10;10;0;5;10;10;5;10;3;7;3;0;0;8;10;10;8;10;8;5;8;8;10;10;5;5;10;10;8;8;5;7;0;5;0;3;0;0;0;8;10;10;10;8;8;0;4;10;0;0;10;0;8;10;0;10;10;5;5;0;5;0;0;3;7;7;7;7;2;7;2;3;3;7;7;5;7;7;6;3;4;3;1;1;3;1;4;1;3;4;2;5;24;2;3;3;2;3;"72581";1
"518193";"Stuttgart";10;8;7;9;10;7;8;7;7;6;8;7;8;7;7;8;3;6;8;3;100;50;20;100;50;50;6;7;6;5;8;6;8;7;6;8;9;5;6;7;4;3;7;7;7;6;5;4;9;5;3;7;5;7;8;7;8;5;10;9;8;6;5;4;3;5;6;8;9;8;6;5;5;4;4;5;6;7;8;5;7;7;7;6;8;8;8;2;2;4;8;1;7;5;5;4;3;3;4;5;6;7;2;7;6;5;4;3;4;5;5;6;7;6;5;4;3;2;4;3;20;2;3;3;2;1;"70567";1
"544907";"Stuttgart";7;8;9;10;8;1;3;1;6;0;1;3;0;2;2;3;1;5;4;8;250;250;540;50;150;20;1;7;7;9;2;10;8;10;3;6;7;4;4;5;0;8;7;2;1;3;2;6;3;7;9;4;3;1;9;2;5;6;6;8;1;0;0;0;0;1;0;6;4;8;7;10;4;2;2;7;3;1;4;0;2;10;2;7;6;0;0;0;0;2;0;3;7;7;3;2;2;5;6;7;4;7;5;1;2;1;3;5;6;7;5;5;5;2;1;2;1;6;1;7;27;1;2;3;2;2;"88045";NA
"552283";"Stuttgart";0;2;1;4;0;0;1;0;0;1;0;10;0;0;0;5;0;0;2;2;100;300;100;50;100;30;0;2;0;0;0;0;5;8;5;8;10;8;8;5;5;8;8;7;6;5;4;3;2;1;0;5;5;5;8;2;2;5;1;5;0;5;8;5;0;5;5;1;1;8;0;5;4;0;0;5;4;4;3;0;8;0;1;3;9;0;6;0;2;2;0;3;7;4;7;7;6;6;4;7;7;3;6;1;4;1;4;2;2;3;1;2;2;5;4;3;2;7;4;6;36;1;3;3;1;1;"70372";2
"544840";"Stuttgart";6;7;5;6;7;5;4;6;7;8;6;5;7;8;5;7;6;4;4;5;300;400;400;100;250;100;6;5;6;7;8;5;4;5;6;7;6;7;6;5;4;3;5;4;6;7;6;7;6;5;4;5;6;7;8;4;3;5;6;7;7;6;5;4;5;7;4;5;7;6;7;4;5;7;8;7;5;4;5;4;5;6;6;5;5;6;6;5;6;4;3;3;5;7;5;3;2;6;4;3;4;6;5;4;5;7;5;4;3;5;5;4;5;7;4;1;4;5;3;2;66;1;5;3;3;2;"71067";NA
"549067";"Stuttgart";8;8;10;8;8;7;8;10;8;8;8;10;8;8;8;10;8;7;5;5;150;300;200;50;100;15;5;10;5;8;9;10;6;10;6;8;5;5;6;6;5;6;5;7;7;8;8;8;8;8;7;9;5;4;6;9;7;9;0;8;0;6;5;5;4;8;3;9;7;7;5;7;8;8;5;8;2;7;5;3;6;9;5;8;6;3;3;0;0;3;0;3;3;2;1;2;2;4;4;5;7;5;5;1;2;2;1;1;1;2;1;1;1;5;1;1;2;1;1;4;51;1;3;1;3;4;"75394";2
"523417";"Stuttgart";9;9;7;8;7;9;8;7;8;5;7;8;5;8;7;8;7;9;8;7;200;100;300;500;100;200;7;4;7;4;3;8;8;7;6;4;6;5;8;7;6;5;4;8;5;6;7;6;6;5;7;8;6;5;6;7;6;5;6;7;8;4;6;7;5;7;8;6;4;7;7;9;10;8;6;8;7;9;7;8;6;7;8;6;7;6;8;6;9;10;9;3;6;3;5;4;6;7;3;4;2;5;4;5;4;5;3;6;3;2;4;5;6;3;3;5;3;4;5;3;46;1;3;1;4;1;"70378";1
