"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"549438";"Wuppertal";9;3;10;9;7;7;3;10;10;4;10;10;0;8;7;10;6;4;0;0;28;250;710;60;100;30;10;8;4;4;6;10;10;10;10;10;8;2;8;6;8;10;10;10;3;10;10;8;8;10;7;10;10;8;10;8;10;10;10;10;2;10;0;0;0;8;0;6;3;10;8;9;4;4;0;9;4;8;6;0;0;0;0;3;4;0;0;0;0;3;0;3;7;5;4;3;5;7;3;7;7;5;5;7;7;7;3;4;1;6;5;3;2;2;3;6;7;7;1;7;21;2;2;3;1;1;"81549";2
"546548";"Wuppertal";8;9;8;9;8;9;9;9;9;9;9;9;9;9;3;5;3;4;3;4;100;300;300;20;20;10;4;5;5;5;6;5;8;7;9;8;7;8;9;8;7;9;5;6;8;7;9;6;5;8;9;7;8;6;9;8;7;7;1;2;1;0;5;6;8;7;6;9;8;7;6;9;8;7;5;6;8;7;6;5;8;7;5;6;8;4;2;0;6;1;4;3;5;4;5;6;4;5;4;3;5;4;4;2;1;2;3;6;4;2;5;4;6;4;4;5;3;4;2;3;72;2;5;1;1;1;"42369";NA
"535982";"Wuppertal";10;10;10;8;8;10;10;10;5;8;8;10;8;8;8;10;10;10;8;5;200;600;1000;300;40;60;5;5;5;5;5;5;4;4;2;8;5;5;3;5;0;10;10;10;10;8;5;8;10;8;5;8;5;5;10;10;10;5;2;3;0;5;5;5;5;5;5;8;8;10;10;7;8;8;5;8;2;5;5;2;5;10;10;5;10;5;5;0;5;10;5;3;5;3;1;1;5;3;5;7;5;7;7;5;5;7;2;3;1;4;1;1;1;5;6;2;1;1;3;7;72;2;5;2;2;2;"42111";1
"535982";"Wuppertal";10;10;7;10;10;9;7;5;5;0;4;10;2;10;10;10;5;0;5;0;300;500;800;100;80;20;0;0;5;8;0;0;7;8;3;8;7;6;7;10;3;10;10;10;8;8;10;10;4;10;5;10;6;2;8;9;7;7;0;5;0;2;3;5;5;10;0;10;10;10;7;10;10;5;4;7;8;10;10;4;10;8;10;10;10;5;0;0;0;0;0;3;5;2;1;1;1;4;1;7;7;7;4;1;2;1;1;1;1;6;1;5;1;2;2;2;3;6;4;4;81;1;5;1;2;1;"42277";NA
"429542";"Wuppertal";10;9;8;8;8;9;8;6;8;6;7;10;6;10;8;10;7;6;8;6;250;350;300;150;250;170;7;9;6;9;7;7;8;10;5;10;7;7;5;7;2;10;10;7;8;9;9;9;9;9;9;10;9;8;8;8;6;10;4;9;7;9;2;2;1;9;1;9;9;10;10;10;9;9;9;10;8;6;10;6;7;10;9;9;8;0;4;0;0;4;0;3;5;4;4;4;1;5;4;7;6;6;7;1;3;4;5;3;6;7;2;1;2;3;1;1;2;3;3;7;31;1;3;3;4;1;"42277";1
"547908";"Wuppertal";10;10;10;10;9;9;10;10;8;8;10;10;8;10;6;10;8;6;7;6;50;300;600;50;25;10;7;9;9;6;5;10;8;8;0;7;5;8;0;0;10;7;7;8;8;9;9;5;5;8;0;10;10;0;8;10;10;9;0;10;0;0;5;5;7;0;0;9;7;8;8;9;9;5;5;8;0;10;10;0;8;10;10;9;5;2;2;0;0;2;0;3;5;1;1;1;1;2;3;7;6;6;6;1;3;2;6;6;4;1;2;1;1;1;1;1;1;2;1;7;70;2;5;3;1;4;"08549";NA
"552335";"Wuppertal";8;9;10;10;7;9;10;10;10;10;10;10;7;10;6;7;6;6;5;5;270;400;500;100;350;50;7;7;7;7;6;5;8;10;6;10;8;8;7;7;6;10;10;8;8;7;8;8;7;9;8;8;7;7;7;8;8;9;5;8;0;6;7;6;6;7;5;8;8;8;8;5;6;5;4;7;3;6;2;5;7;8;6;5;9;6;6;1;4;4;3;1;5;5;4;3;5;4;5;5;6;7;6;4;4;4;3;2;5;5;3;4;3;2;3;2;4;3;1;5;70;1;5;3;2;1;"42369";NA
"549327";"Wuppertal";10;8;10;9;9;10;8;10;8;10;10;10;6;10;6;9;6;10;7;9;150;150;1300;30;18;50;2;4;3;8;6;9;6;10;6;8;8;8;6;5;5;9;9;6;8;4;8;7;9;9;7;8;5;5;8;9;9;7;6;8;6;8;7;7;6;5;4;9;9;4;7;4;6;7;8;9;5;8;5;5;6;9;9;7;9;3;3;0;0;2;0;3;4;3;4;3;3;6;4;7;5;7;5;2;4;4;3;6;2;6;4;2;2;2;3;2;4;4;5;6;43;1;3;3;3;2;"42549";1
"548979";"Wuppertal";10;8;10;10;9;10;9;10;8;10;10;10;6;10;9;9;7;7;8;5;200;300;0;200;100;0;7;6;5;5;6;3;8;10;7;10;10;10;10;5;10;10;10;9;7;9;10;8;9;9;9;10;9;6;9;10;8;9;8;5;0;6;3;6;3;7;0;3;6;5;7;8;7;1;5;7;6;0;9;0;7;9;0;6;10;5;4;0;7;6;3;3;6;3;5;4;1;7;3;7;7;4;5;6;6;7;3;4;5;6;5;4;4;4;2;3;5;5;4;7;23;2;2;3;1;1;"42115";NA
"547805";"Wuppertal";10;10;10;10;10;10;10;8;7;5;6;10;5;10;8;10;8;5;8;2;250;600;400;50;200;100;8;10;8;10;7;10;9;9;7;9;9;7;4;5;3;5;7;8;4;5;6;3;5;5;8;7;7;7;6;7;6;5;8;9;0;4;9;4;2;5;6;6;7;8;2;4;4;2;3;4;8;8;9;8;9;10;3;7;10;0;5;0;2;3;0;1;4;3;1;1;5;6;5;4;4;6;6;1;1;1;1;2;4;4;1;2;1;1;2;1;1;2;4;4;36;2;3;3;3;1;"45136";2
"546048";"Wuppertal";0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;3;2;0;2;3;90;80;0;20;150;100;0;2;3;2;1;2;8;10;0;10;9;8;6;9;6;4;7;6;2;6;7;9;6;8;10;9;8;9;9;8;6;8;10;5;0;8;0;0;0;0;0;0;8;0;0;4;2;0;0;9;1;0;2;0;0;9;0;8;0;3;0;0;0;0;5;3;5;5;5;4;6;6;5;1;1;6;5;3;2;1;7;1;1;2;2;2;4;3;3;2;7;2;4;3;24;1;3;1;1;1;"42349";1
"535982";"Wuppertal";10;10;10;10;10;10;7;10;8;5;9;10;4;7;0;8;5;5;10;3;50;100;0;30;60;10;10;8;2;3;5;0;7;8;5;8;8;4;7;8;5;8;8;8;5;6;9;6;8;8;4;8;7;2;5;10;8;8;10;6;0;7;10;0;0;10;5;6;8;7;5;8;9;6;3;7;3;8;7;0;0;10;8;5;10;0;9;0;2;4;5;1;5;6;2;3;1;3;5;5;3;7;5;3;6;5;1;4;4;3;3;3;1;6;4;4;2;4;5;3;23;2;2;3;1;1;"42285";NA
"548546";"Wuppertal";8;9;9;9;8;9;7;7;5;7;7;9;5;8;3;6;6;6;6;5;200;500;500;200;400;100;3;4;3;3;4;3;7;5;5;6;3;3;3;3;2;3;3;6;4;4;5;5;3;4;2;5;3;2;3;4;4;4;1;5;1;2;2;2;2;3;2;2;3;5;3;5;5;3;1;5;1;2;4;1;3;7;5;3;9;2;2;1;1;3;1;3;5;4;4;5;3;6;3;5;5;3;5;3;3;4;3;3;4;5;4;2;2;3;2;2;2;3;3;6;57;1;3;3;4;2;"42399";1
"555604";"Wuppertal";9;8;9;9;8;8;7;9;10;10;9;10;8;10;8;10;9;10;9;7;120;600;150;150;150;50;5;5;5;5;0;8;8;8;8;8;8;7;7;7;0;10;10;9;9;9;8;8;9;8;8;9;9;8;8;10;9;8;0;2;0;2;5;2;0;7;0;8;8;9;9;9;5;9;4;7;7;10;8;7;7;10;8;4;8;0;0;0;0;0;0;3;5;7;7;7;2;6;3;7;5;5;7;5;6;6;3;1;1;7;5;5;3;3;5;3;5;3;4;5;52;2;3;1;3;1;"42657";2
"547805";"Wuppertal";9;6;8;5;6;6;6;6;4;3;4;10;3;5;6;5;8;5;6;7;80;650;500;50;50;100;2;3;4;8;2;3;5;4;3;7;3;4;2;3;2;6;5;7;6;6;5;3;3;4;3;6;3;2;4;6;5;4;2;4;0;3;1;4;0;2;0;6;4;7;5;8;7;3;2;2;0;6;2;0;2;4;2;3;8;0;0;0;0;0;0;3;6;4;2;2;3;5;5;5;2;5;3;1;3;2;1;1;4;4;2;4;5;6;6;3;3;4;5;6;52;1;3;1;2;1;"45289";1
"553667";"Wuppertal";7;8;7;6;5;9;7;5;6;5;4;9;6;6;6;8;5;5;7;6;80;350;600;50;30;50;4;7;5;5;5;6;9;9;2;6;5;5;4;6;0;7;7;6;5;7;7;5;6;7;5;5;6;7;9;10;10;10;0;2;2;2;2;2;2;0;4;0;8;8;4;2;8;9;5;6;7;2;3;5;2;2;3;9;10;8;8;0;0;5;2;3;5;4;4;7;2;2;1;4;4;3;6;2;3;4;1;2;2;7;2;3;1;1;1;1;1;3;2;7;56;1;3;3;4;2;"41564";2
"556337";"Wuppertal";8;8;7;7;8;10;8;10;10;8;10;10;8;8;0;10;5;5;5;8;400;400;400;50;60;80;3;8;5;10;8;6;10;10;0;10;5;5;3;8;5;10;10;10;10;8;8;8;10;10;10;8;10;10;10;10;10;10;0;4;0;5;8;5;0;8;0;10;10;8;8;10;5;8;6;10;0;8;8;8;8;8;10;0;5;1;3;0;0;1;0;3;3;2;3;4;2;1;3;6;5;5;7;1;2;2;1;1;5;3;3;2;2;2;3;1;1;2;3;6;52;1;3;1;2;3;"41564";1
"549640";"Wuppertal";8;6;9;8;5;6;7;6;2;4;5;10;3;8;8;7;5;4;3;2;300;70;0;100;50;20;8;6;5;7;7;9;6;8;7;8;7;7;6;4;2;8;8;6;3;8;8;8;7;6;7;8;7;4;6;9;8;7;1;2;5;1;0;10;0;6;4;7;8;6;7;6;4;2;2;3;2;8;5;0;4;9;9;5;3;3;1;1;1;2;3;3;5;5;6;6;1;6;5;5;5;4;6;4;6;4;2;4;2;6;1;2;4;5;2;1;1;4;1;6;22;1;3;3;4;1;"42281";2
"547805";"Wuppertal";9;8;8;8;8;8;8;9;9;9;9;10;9;9;5;5;6;6;5;5;300;1000;600;100;300;20;8;8;7;7;8;8;7;7;3;7;6;4;6;7;6;6;6;6;6;6;5;6;6;6;4;5;4;4;6;5;5;5;6;6;3;6;7;5;5;NA;5;6;6;6;5;6;6;6;6;5;5;6;4;4;7;7;6;6;7;3;4;2;3;2;5;3;3;3;3;3;1;1;1;2;3;3;4;2;2;4;2;2;2;2;1;1;3;3;3;3;2;3;4;4;59;2;3;2;2;1;"42329";1
"551292";"Wuppertal";8;10;10;8;8;4;2;2;2;2;2;8;2;2;4;8;1;8;5;10;200;400;1000;150;400;60;1;7;3;8;7;9;0;7;0;7;2;2;0;2;0;8;8;7;9;10;10;7;7;10;2;2;10;8;10;10;10;10;0;5;0;2;4;1;0;0;10;8;8;7;10;10;10;7;7;10;0;0;10;6;10;10;10;10;10;0;2;0;0;1;0;3;3;2;2;2;2;3;1;7;5;5;7;2;5;6;3;2;2;3;1;1;3;1;2;1;1;5;3;7;50;2;3;3;NA;2;"58332";1
"549829";"Wuppertal";10;10;9;10;9;9;8;6;8;8;8;8;10;8;8;10;8;9;8;8;50;250;150;50;100;0;8;8;8;9;8;10;9;10;8;8;6;5;4;6;5;10;10;10;8;9;9;8;9;9;7;9;8;5;7;10;10;9;5;8;0;5;6;5;2;6;0;8;8;8;8;8;8;5;7;8;6;9;6;4;6;10;10;8;8;5;5;0;0;5;0;3;4;3;1;2;2;5;5;6;6;6;5;2;2;2;5;3;4;4;3;3;3;2;2;2;3;2;3;2;74;1;5;1;2;1;"42287";NA
"555604";"Wuppertal";8;8;10;10;8;7;3;9;9;7;9;9;8;9;6;10;7;6;4;4;150;400;400;100;200;50;2;10;6;4;5;3;8;10;7;9;8;8;8;8;7;8;9;8;8;8;9;8;5;8;7;9;9;9;6;10;10;9;0;1;0;1;6;6;1;3;0;4;6;7;9;7;7;0;0;6;3;1;8;7;3;9;9;8;10;4;2;0;1;4;5;3;6;2;6;6;1;6;4;7;5;5;2;3;4;5;2;1;2;6;4;3;2;2;6;2;4;6;7;5;47;2;3;3;2;1;"42657";2
"549640";"Wuppertal";9;9;9;9;9;10;10;9;9;9;6;10;6;6;8;9;9;7;6;8;60;100;0;5;30;30;5;8;8;9;8;7;9;10;9;9;9;7;9;5;5;7;7;9;9;5;10;9;9;9;6;10;8;4;9;10;9;8;4;3;0;0;4;0;2;6;0;1;4;8;9;4;8;2;5;7;1;1;3;0;7;8;0;5;10;5;5;0;1;0;5;3;5;7;7;6;7;7;1;7;7;6;6;1;5;1;5;2;6;5;3;5;5;3;6;2;5;6;5;6;17;1;1;2;2;1;"51377";2
"544491";"Wuppertal";7;5;8;9;4;5;8;8;4;6;10;5;7;9;5;8;4;6;8;4;80;90;500;40;170;60;2;5;8;4;6;5;5;9;4;5;8;4;5;10;5;4;10;5;4;10;10;8;5;9;4;6;8;7;9;7;5;8;5;8;4;9;6;4;8;10;10;10;8;4;5;1;5;4;9;5;7;8;4;8;4;5;7;5;10;8;9;5;4;7;5;3;7;5;5;6;4;3;5;4;5;7;6;6;5;7;4;6;5;2;4;5;2;4;2;7;5;6;4;6;39;2;3;1;2;1;"42349";1
