"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"548910";"Hannover";8;5;9;5;7;8;5;5;4;4;4;9;0;9;5;8;5;6;6;7;100;300;600;20;35;20;4;6;4;7;7;7;9;10;2;10;10;10;5;5;5;10;10;10;6;10;10;9;10;10;10;8;10;10;10;6;8;10;5;10;0;8;10;10;5;5;5;10;10;7;5;5;5;5;5;7;7;5;6;6;7;8;8;8;10;0;0;0;0;7;0;3;5;4;1;1;1;1;1;2;4;4;7;3;3;3;3;3;3;3;3;3;3;6;6;4;4;4;4;4;50;1;3;1;3;2;"20251";2
"524292";"Hannover";10;10;10;9;9;8;6;10;8;8;8;10;7;9;7;10;7;8;7;7;100;450;1200;150;200;50;3;9;5;7;5;6;8;9;5;6;9;7;6;5;3;8;8;6;0;4;6;9;6;9;7;7;5;5;8;9;7;8;10;6;0;6;10;8;5;8;0;8;7;2;0;4;4;5;5;6;4;5;4;0;5;9;5;8;10;7;8;0;4;4;0;3;5;3;1;2;1;6;4;5;7;7;6;5;5;7;2;1;2;7;5;3;5;2;2;4;3;5;2;6;32;2;3;1;2;3;"30916";1
"547121";"Hannover";5;5;9;9;10;10;5;10;10;10;10;10;10;10;5;5;5;5;5;5;100;500;500;100;300;50;5;5;5;5;5;5;5;5;1;5;5;3;0;0;5;3;4;5;3;7;5;3;5;5;5;0;10;0;0;5;5;5;0;5;0;0;5;3;0;0;5;3;4;5;3;8;5;4;2;2;0;0;8;0;0;5;4;4;10;5;5;0;0;5;0;3;4;4;1;1;3;3;3;7;4;4;3;1;4;4;1;1;1;4;1;1;2;1;3;1;3;5;1;7;70;1;5;2;NA;4;"30900";NA
"555465";"Hannover";5;7;7;8;6;8;7;10;10;10;10;10;9;8;7;7;7;8;8;8;50;100;350;300;150;50;0;5;5;4;0;6;8;9;6;7;5;4;5;6;4;6;5;7;2;5;5;5;6;6;6;4;7;7;8;8;7;7;10;0;0;2;0;0;4;7;3;4;4;7;0;7;7;6;3;7;6;0;8;2;8;10;7;6;5;0;3;0;0;0;0;3;7;6;5;4;6;5;5;5;7;5;7;6;6;7;1;1;3;4;1;1;1;7;4;2;7;3;6;6;25;2;2;3;1;1;"30459";NA
"546040";"Hannover";10;10;10;10;10;10;10;10;5;10;5;10;5;10;5;8;6;5;5;0;210;200;210;40;100;20;3;5;3;5;6;5;8;5;6;10;3;3;3;0;0;8;8;5;0;5;10;10;6;5;0;10;5;5;5;10;10;10;0;2;0;0;5;5;5;5;0;8;8;5;0;5;10;10;6;5;0;10;5;5;5;0;10;10;10;0;0;0;0;0;0;3;4;3;1;4;1;1;5;7;7;7;7;1;4;4;7;7;7;7;4;1;4;4;5;5;4;7;5;7;73;1;5;2;2;3;"36266";NA
"551101";"Hannover";10;10;10;8;8;10;7;10;8;10;8;10;8;10;5;10;0;0;5;3;50;250;300;80;250;0;3;0;5;5;5;10;5;10;5;5;10;8;5;10;5;10;10;10;10;10;10;5;8;10;5;10;10;5;10;10;10;10;0;10;0;5;10;5;10;10;0;10;10;10;10;10;10;5;8;10;0;10;10;0;10;10;10;10;10;0;0;0;0;5;0;3;1;1;1;1;1;4;3;6;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;76;2;5;1;1;3;"30890";NA
"552765";"Hannover";8;8;10;9;8;7;7;6;9;9;9;10;6;10;6;6;6;10;8;7;200;350;150;150;350;75;3;4;4;7;10;6;9;9;7;8;5;5;5;5;4;7;7;7;5;7;7;6;6;5;6;6;5;3;6;9;7;9;5;7;0;3;1;1;0;5;3;8;8;7;6;7;8;9;7;7;5;1;4;3;4;8;6;6;8;1;4;2;2;5;6;3;3;3;2;4;2;3;3;3;3;4;4;4;4;4;6;5;1;3;6;4;5;3;5;4;4;4;4;5;47;2;3;2;2;2;"31515";1
"547400";"Hannover";10;8;7;8;8;7;6;5;7;7;5;8;4;8;7;9;7;6;6;6;300;200;70;100;80;50;6;8;8;5;6;7;7;6;5;7;8;7;6;6;3;6;7;3;2;3;4;5;4;7;5;6;4;2;7;6;5;5;8;7;0;5;3;3;0;4;7;3;2;2;2;3;4;0;0;7;3;4;3;2;4;5;10;5;8;9;4;0;2;5;4;3;5;3;6;6;1;7;2;3;5;4;7;5;6;5;3;3;2;6;2;3;2;5;4;2;5;5;3;3;23;1;2;3;1;1;"30179";2
"547223";"Hannover";9;10;10;10;10;10;6;10;8;10;10;10;8;8;6;9;3;8;5;5;150;800;350;50;200;50;3;10;3;8;5;5;9;10;0;7;0;0;0;2;0;10;10;5;5;6;10;6;6;8;5;6;4;0;2;8;8;8;6;6;0;2;0;0;0;2;0;8;10;5;0;8;7;0;6;8;0;0;4;0;0;10;10;6;10;0;0;0;0;2;0;3;6;5;5;5;2;4;1;6;5;5;4;3;3;2;1;2;2;5;2;1;2;2;1;1;2;3;2;4;51;1;3;1;2;4;"31515";1
"548652";"Hannover";10;10;10;10;10;10;10;10;10;8;8;8;10;10;8;8;8;8;8;8;200;650;500;200;200;50;8;8;8;8;8;8;10;10;5;5;5;5;5;8;8;10;10;8;8;8;8;8;8;10;10;8;8;8;8;8;8;8;3;5;0;3;5;5;0;8;5;8;8;5;5;5;5;0;5;8;5;8;8;5;8;8;8;8;10;5;8;0;0;5;3;3;3;1;3;3;1;1;1;7;5;5;5;1;4;3;4;1;1;3;1;1;1;3;1;3;1;3;3;4;73;2;5;1;2;3;"30966";NA
