"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"544848";"Düsseldorf";8;7;8;9;8;9;6;10;6;9;8;10;5;7;7;8;8;6;7;7;250;350;500;50;100;30;4;8;7;9;6;8;8;10;7;8;9;8;6;7;6;8;7;7;6;7;9;7;8;6;8;8;6;6;7;7;7;6;1;7;0;7;3;7;2;7;3;6;4;8;4;10;8;6;3;6;9;3;8;1;5;8;0;1;8;0;2;0;0;5;0;3;7;5;3;5;1;4;5;4;6;5;7;2;6;6;1;1;2;7;2;1;1;3;3;2;5;5;4;7;21;1;3;1;1;1;"46045";1
"542582";"Düsseldorf";10;6;8;8;7;6;8;5;6;6;5;8;2;0;5;6;4;7;7;5;30;350;950;20;300;60;8;10;7;9;7;9;8;8;6;8;9;9;9;6;5;7;7;6;4;5;5;9;8;10;8;9;8;6;9;7;7;10;10;10;0;10;10;10;5;5;7;7;8;7;7;7;8;5;9;8;6;2;6;5;9;10;8;7;9;4;10;2;0;4;1;1;5;2;2;3;1;2;3;3;2;6;6;1;3;6;3;2;7;5;1;1;1;2;2;1;1;5;2;6;25;1;3;3;2;1;"50670";1
"546780";"Düsseldorf";7;8;8;8;8;4;4;2;2;1;2;6;0;1;4;4;4;1;2;7;100;200;350;50;150;50;3;2;3;6;3;6;8;8;7;8;4;5;4;4;4;4;4;6;6;6;6;6;5;5;5;5;5;5;5;8;5;5;2;7;2;7;2;2;2;6;1;6;6;6;6;6;6;6;1;5;3;3;6;1;1;6;1;2;6;2;0;0;0;0;0;3;4;2;3;3;1;5;5;6;6;4;4;2;2;3;5;5;5;7;4;5;3;1;1;1;5;7;4;7;70;1;5;2;2;4;"47647";NA
"548029";"Düsseldorf";10;10;10;10;10;10;7;8;6;6;6;10;4;6;4;6;4;4;4;4;150;150;250;50;100;50;2;4;4;8;2;4;10;10;5;10;10;10;10;10;0;10;10;10;10;10;10;10;10;10;10;6;8;6;6;10;10;10;0;8;0;8;5;5;3;5;0;8;8;8;8;8;5;8;0;8;4;2;4;0;2;8;10;8;10;2;2;0;0;0;0;3;5;6;3;3;3;6;3;6;7;7;7;4;5;3;6;6;7;7;6;6;6;4;4;3;2;6;5;6;62;2;5;1;1;2;"40764";NA
"547578";"Düsseldorf";9;9;10;8;10;10;10;4;4;3;3;6;10;3;6;6;5;4;3;8;150;200;80;100;100;30;0;6;3;9;0;8;10;10;10;10;9;9;0;9;0;10;10;10;5;10;10;10;9;10;10;10;10;10;10;8;10;10;0;9;0;8;7;7;0;8;0;9;9;9;0;9;9;10;0;10;3;5;10;0;9;8;10;10;10;5;9;0;0;8;0;3;4;3;5;5;2;2;2;2;3;7;7;1;1;1;1;1;1;3;1;5;1;1;1;1;1;6;1;7;60;1;3;1;1;3;"40882";2
"551497";"Düsseldorf";10;8;7;6;6;6;6;8;7;9;10;8;6;9;5;6;7;7;5;6;100;150;100;50;120;50;8;7;5;8;7;6;10;10;5;9;8;7;7;8;5;8;8;9;9;8;8;7;9;9;8;8;8;5;5;9;8;8;5;3;2;7;4;6;6;8;3;7;7;6;6;7;7;5;7;7;5;4;5;3;4;10;7;2;8;0;0;0;0;1;1;3;4;3;4;4;3;6;6;3;6;6;6;6;6;4;4;5;3;3;5;5;3;5;1;3;5;2;4;3;68;1;5;1;1;2;"40597";NA
"357913";"Düsseldorf";4;3;2;2;2;1;2;2;0;0;1;3;0;4;1;2;1;1;1;3;300;300;1400;200;1000;200;0;1;0;2;0;2;4;6;4;5;2;2;0;2;0;5;5;3;3;3;3;3;2;8;0;2;3;0;4;5;3;2;0;10;0;5;0;0;0;6;0;6;6;5;3;5;5;6;2;10;0;2;3;0;4;6;3;3;2;0;0;0;0;0;0;3;6;6;7;7;3;3;2;4;5;2;5;5;6;6;1;1;2;6;6;5;2;1;1;1;5;6;2;3;66;1;5;3;4;1;"40214";NA
"549595";"Düsseldorf";8;7;7;6;7;7;6;6;8;8;8;7;8;7;4;4;4;4;4;2;160;200;550;100;150;100;5;4;2;6;4;4;6;6;7;8;8;8;6;6;2;4;4;4;4;5;4;4;3;6;4;4;4;5;6;4;4;5;3;4;4;3;4;4;3;9;2;4;4;6;6;4;4;5;4;4;3;4;4;4;4;6;6;7;10;0;2;0;0;2;0;3;4;5;2;2;2;5;2;3;3;2;3;2;3;3;2;2;3;3;4;2;3;2;2;2;2;3;2;2;48;2;3;2;2;1;"47441";1
"542582";"Düsseldorf";10;10;10;10;10;10;10;8;10;6;6;10;0;5;0;7;10;5;0;10;80;300;350;50;0;100;0;0;10;0;0;0;10;10;10;10;8;5;4;10;0;4;10;1;10;6;10;10;5;0;10;10;10;10;10;10;10;10;0;0;10;0;8;0;5;5;5;0;5;0;0;10;10;0;6;0;0;5;10;10;10;5;3;3;10;0;0;0;0;0;0;3;7;6;6;6;3;6;7;6;6;1;5;5;7;6;4;7;6;7;6;6;5;1;2;7;7;6;4;3;27;2;2;3;1;1;"40226";NA
"550972";"Düsseldorf";6;10;10;9;8;5;6;7;4;6;7;10;7;10;6;8;7;6;5;7;200;800;1200;50;200;50;5;5;5;7;6;7;9;9;8;7;7;7;5;6;4;8;8;7;7;8;9;7;8;9;9;9;9;9;8;10;8;10;2;5;0;3;4;5;1;5;0;7;6;5;2;8;9;3;5;7;7;5;8;1;6;10;4;10;8;2;2;0;0;0;0;3;7;3;3;2;1;6;7;7;7;6;5;1;3;5;1;2;5;5;4;4;5;1;3;1;1;4;1;5;68;1;3;5;3;1;"42651";NA
