"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"547512";"Berlin";8;8;7;5;7;8;3;8;7;9;7;8;8;8;3;3;3;1;1;1;80;200;550;250;200;200;3;3;2;1;2;1;7;7;6;7;7;6;6;8;6;8;7;7;7;7;8;9;7;8;7;7;7;7;6;7;6;8;5;9;3;9;7;5;2;9;2;7;6;9;4;8;5;6;5;7;6;0;7;5;5;8;6;7;7;3;6;1;1;0;1;3;6;4;2;5;5;3;5;6;2;6;6;7;7;6;2;4;5;6;7;6;6;5;6;5;5;5;6;6;48;1;3;1;2;1;"53113";1
"547376";"Berlin";9;7;8;9;10;10;10;9;8;8;8;8;8;8;8;8;7;7;7;9;0;20;0;30;0;50;7;5;7;7;7;7;6;10;5;9;7;3;8;2;4;10;10;6;6;5;7;10;10;8;8;7;9;10;7;7;9;10;2;9;0;5;4;3;4;4;0;4;1;5;4;3;5;5;4;6;3;3;4;1;8;6;3;2;8;0;4;0;0;4;5;3;7;6;3;4;1;5;4;5;4;6;5;2;4;3;2;5;5;5;6;5;5;4;4;1;4;4;1;6;16;2;1;3;3;3;"14532";NA
"544281";"Berlin";10;8;10;10;9;9;4;8;8;10;10;10;5;10;3;10;10;10;8;6;300;200;800;200;300;100;3;6;4;4;4;2;8;8;0;4;7;7;7;8;6;8;9;9;9;8;10;8;8;9;8;9;8;8;10;10;10;10;4;5;0;6;2;2;2;8;0;8;10;10;10;9;10;8;6;8;0;0;7;6;8;7;8;9;10;4;4;0;0;0;0;3;6;6;4;5;1;5;2;6;6;6;6;5;5;6;2;3;2;6;5;5;2;5;6;2;5;6;4;5;30;1;3;1;2;1;"10965";1
"442162";"Berlin";5;6;4;6;7;5;6;7;6;7;5;5;6;6;3;4;2;4;3;3;150;200;0;150;200;150;3;4;3;4;3;2;3;4;4;3;5;4;2;3;5;4;3;4;4;3;3;5;4;5;4;3;4;5;5;4;5;6;3;2;3;3;2;4;1;3;4;3;2;2;3;2;1;4;2;3;2;2;3;3;4;2;3;5;8;0;0;0;10;0;0;1;6;6;5;5;6;4;5;6;4;5;5;4;6;7;6;5;6;4;5;6;5;7;5;6;4;3;5;6;20;2;2;5;1;1;"13585";1
"202713";"Berlin";10;10;10;10;10;8;8;10;8;8;10;10;7;9;5;8;0;5;8;8;100;200;0;300;150;200;8;8;5;5;4;6;10;10;10;10;10;10;5;10;10;5;5;8;5;10;10;10;3;10;3;8;5;0;8;10;10;10;7;6;0;0;5;5;5;10;10;5;5;8;5;10;10;10;3;10;3;8;5;0;8;10;10;10;10;8;10;0;3;5;8;3;7;7;1;1;1;3;1;4;2;7;7;6;6;6;2;2;1;7;5;5;4;1;1;1;6;6;4;7;16;1;1;5;1;1;"10711";NA
"550636";"Berlin";8;6;7;9;7;4;3;2;7;0;0;0;0;5;0;4;1;6;2;0;150;90;200;80;200;20;2;7;4;5;3;7;8;9;5;8;5;5;5;1;3;8;7;6;4;6;8;8;7;6;8;8;5;6;8;8;6;8;2;6;1;7;4;5;0;0;0;6;3;6;6;6;5;1;3;5;2;4;4;1;4;9;2;6;10;0;2;0;6;0;0;3;6;4;2;1;1;7;3;6;6;6;6;7;5;6;2;3;5;4;3;2;5;5;3;2;4;5;2;4;21;2;3;1;1;4;"15299";1
"551206";"Berlin";9;8;8;9;9;9;8;9;10;8;9;10;5;8;5;8;8;8;8;7;70;250;700;40;60;50;6;5;6;10;9;5;9;9;8;8;8;8;7;6;5;8;7;8;5;6;7;6;8;8;8;7;6;8;7;6;5;6;9;7;7;7;8;7;0;7;6;0;6;4;6;7;8;7;5;6;6;7;8;7;6;1;5;1;6;2;2;0;2;3;2;3;7;6;4;4;3;5;4;5;7;6;5;5;4;4;1;4;4;4;3;2;2;3;5;5;5;4;4;2;40;1;3;3;1;1;"50735";1
"547040";"Berlin";8;8;10;10;10;10;5;10;10;8;8;10;6;10;7;8;8;7;8;5;50;150;600;100;50;50;3;6;5;6;8;7;5;6;6;4;3;3;0;6;4;7;7;8;9;9;9;9;8;7;0;8;8;0;8;9;9;10;0;0;0;0;3;0;0;5;0;7;7;8;9;9;7;7;3;5;0;8;5;0;8;8;9;10;10;0;3;0;0;3;0;3;5;3;1;1;1;3;4;7;6;5;6;3;4;5;3;4;6;5;3;5;4;5;6;6;3;4;3;5;72;2;5;1;1;1;"10319";NA
"542715";"Berlin";10;8;9;5;6;7;9;7;6;5;5;5;4;7;4;4;5;6;7;4;199;300;800;50;100;100;5;5;6;3;4;6;10;10;10;5;6;8;4;7;7;5;3;5;8;4;5;6;7;8;8;6;7;5;6;7;8;9;10;10;10;5;6;5;6;3;5;4;7;5;7;8;5;6;7;8;8;6;7;5;6;7;8;9;5;7;8;5;2;3;3;2;5;4;3;6;3;5;5;5;6;NA;3;5;4;6;4;3;7;5;7;3;5;7;4;6;4;7;5;2;47;1;3;3;2;1;"10367";1
"550746";"Berlin";9;6;9;8;9;5;2;10;10;8;6;9;10;10;3;8;6;8;7;3;5;422;549;50;0;0;10;5;8;6;10;10;8;8;8;6;10;5;8;10;7;10;10;5;8;7;8;8;10;6;5;10;6;7;8;10;10;10;10;10;0;10;9;5;5;6;3;8;8;4;4;5;8;7;8;6;0;10;0;0;10;10;10;10;10;8;7;0;6;10;5;1;7;5;6;3;7;7;6;5;6;7;3;1;4;5;6;7;7;5;5;4;5;2;1;3;3;5;4;5;95;2;5;1;1;3;"46483";NA
"553914";"Berlin";8;9;9;9;9;8;8;10;8;8;7;9;7;8;8;10;10;9;7;7;65;150;150;20;30;30;6;9;8;6;7;7;8;7;6;9;8;8;6;6;5;8;6;9;7;7;8;9;8;8;7;9;7;7;6;9;8;8;10;6;0;10;6;8;0;6;1;6;3;10;8;8;9;6;2;7;5;7;1;1;5;7;8;7;9;6;7;0;1;2;1;3;5;2;1;2;1;5;6;4;7;6;7;1;3;2;4;4;5;5;2;2;4;4;2;2;5;6;6;7;30;1;3;3;1;1;"10715";1
"547512";"Berlin";7;7;8;5;7;8;8;7;8;5;7;8;6;7;6;8;6;6;7;6;150;300;600;70;300;100;4;5;6;6;6;5;8;10;8;7;3;3;3;2;6;8;8;8;8;8;8;10;7;8;7;5;7;7;7;7;6;8;10;9;0;9;4;3;2;2;2;6;7;4;4;8;4;7;6;7;7;6;6;2;7;8;5;7;8;2;4;2;0;2;6;3;6;5;5;5;2;3;4;5;5;5;4;2;4;5;6;5;5;4;3;4;4;4;7;7;6;2;7;7;53;2;3;3;2;1;"13127";3
"536917";"Berlin";7;6;9;8;10;9;5;10;8;9;9;10;5;10;2;8;1;5;2;3;100;100;300;250;100;NA;4;3;6;4;5;3;10;10;8;5;8;4;7;3;8;5;5;7;7;10;10;10;2;8;8;9;10;10;4;5;3;6;0;5;2;10;10;0;6;0;5;5;5;10;10;10;10;0;0;5;8;3;4;2;2;0;0;4;3;4;0;0;2;0;10;1;5;2;2;1;3;6;6;7;6;4;5;6;7;6;6;6;6;7;2;2;2;4;4;2;6;3;3;4;23;2;3;NA;2;1;"82008";1
"553017";"Berlin";9;9;9;9;8;8;8;10;10;10;9;8;9;9;9;8;8;9;8;7;80;450;800;30;120;20;5;2;2;3;3;3;9;9;9;8;9;9;9;9;8;10;10;10;8;8;7;7;8;8;9;9;9;7;10;10;10;10;6;6;7;8;5;8;8;8;7;7;6;6;7;7;6;6;6;7;7;7;5;4;5;3;6;2;10;10;10;5;7;9;10;1;1;7;3;2;6;5;3;1;7;7;6;2;3;4;4;5;3;2;1;1;3;3;5;1;6;2;2;4;29;2;3;3;2;1;"12055";2
