"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"471263";"Hagen";1;3;3;5;3;4;3;4;3;5;6;5;4;5;6;7;6;5;6;7;6;5;4;5;6;7;6;5;4;3;4;5;6;7;8;9;7;6;5;3;5;6;7;6;4;6;7;6;5;7;6;5;6;7;4;5;6;7;8;4;5;7;5;8;5;7;4;5;7;3;5;4;6;4;6;4;6;4;7;9;7;5;3;6;8;5;4;3;6;4;6;3;5;4;6;4;6;3;7;3;7;4;3;2;5;3;4;3;5;4;3;1;3;5;4;3;2;5;4;3;69;1;3;2;2;1;"22926";1
"552426";"Hagen";7;4;1;5;9;4;1;2;3;4;5;6;1;2;3;2;1;0;0;4;0;1;2;3;4;5;6;5;4;7;8;9;1;2;3;4;5;1;2;0;0;0;0;4;4;1;3;1;4;5;6;4;0;1;6;3;4;7;7;2;4;1;5;6;3;1;4;2;3;6;5;4;1;2;2;4;7;8;9;5;2;1;2;1;1;3;4;5;6;7;6;1;2;1;4;5;6;3;2;1;4;5;6;6;5;4;7;7;6;6;1;2;3;4;5;6;1;2;3;1;35;1;3;2;3;1;"22765";1
