CASE;LANGUAGE;SC01;GS01_01;GS01_02;GS01_03;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CS01_01;CS01_02;CS01_03;CS01_04;CS01_05;CS01_06;CS01_07;FW01_01;FW01_02;FW01_03;FW01_04;CW01_01;CW01_02;CW01_03;CW01_04;CF01_06;CF02;CF02_06;CF03_01;CF04;CF05_01;CF06;CF06s;SD01;SD02_01;SD03_01;SD04;SD04_09;SD05;SD05_08;SD06;SD07;SD08
98;deu;2;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;deu;2;6;5;6;5;6;6;4;6;4;6;7;7;5;5;4;6;4;3;4;2;3;4;4;1;2;;5;2;1;-2;Weil Sport für mich keinen sehr hohen Stellenwert hat.;1;24;81;4;;4;;6;1;1
100;deu;2;6;6;6;7;6;7;7;6;5;6;6;6;7;6;7;6;5;6;6;7;5;5;6;7;2;;6;2;5;-2;Ich setzte mir nur bedingt Ziele, da der Sport zum Hauptteil dem Ausgleich dient um den Kopf frei zu bekommen.;2;28;81;8;;4;;10;10;4
101;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;eng;2;7;7;7;6;7;6;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;deu;2;6;5;5;6;6;5;7;5;5;4;5;4;6;6;4;6;5;6;5;5;3;5;2;2;2;;10;2;3;-2;ich konsequenter Sport treiben müßte -;1;48;81;8;;4;;10;9;4
104;deu;2;7;7;6;6;5;5;6;7;5;6;7;7;6;5;5;7;5;6;7;6;5;7;7;10;2;;2;2;6;-9;;2;32;44;8;;4;;8;6;4
105;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;deu;2;5;6;5;6;5;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;deu;2;6;6;7;7;6;6;5;6;6;6;7;6;6;6;4;6;7;6;4;7;7;5;4;6;4;;13;1;6;-2;"Training wird so ausgerichtet, dass die spielerischen Stärken noch mehr gestärkt werden (Fokus liegt nicht darauf Schwächen zu ""beheben"" - auch aber eher auf Stärken)";1;26;42;8;;4;;8;5;4
109;deu;2;2;3;2;3;2;3;2;1;3;5;4;4;5;5;4;5;5;5;6;5;5;6;5;6;1;;20;1;5;-2;Weil ich einen Anreiz brauche;2;27;81;8;;4;;10;1;4
110;deu;2;6;6;6;5;5;4;5;4;6;5;5;5;5;4;4;5;4;4;5;4;5;3;4;1;1;;40;2;3;-2;nur immer ein spontanes Ziel gesetzt wird. Kein Ziel auf das hintrainiert wird.;1;56;85;4;;4;;8;1;4
111;deu;2;7;6;6;5;5;5;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;eng;2;4;3;3;4;6;6;5;4;5;3;5;4;4;4;7;6;6;5;4;2;5;5;4;5;2;;6;2;6;-2;I strive to improve;2;28;80;3;;4;;9;1;1
113;deu;2;6;6;6;6;5;5;6;6;5;7;6;2;6;-9;5;6;6;6;7;5;5;6;5;1;1;;15;2;1;-9;;1;27;80;8;;4;;8;1;2
114;deu;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;deu;2;7;7;7;6;7;7;7;6;6;6;7;6;6;6;7;7;7;6;6;6;6;6;6;4;6;Tanzen;7;2;4;-2;ich zu spät mit dem Sport Tanzen begonnen habe;1;60;23;4;;4;;10;1;4
116;deu;2;6;5;5;5;4;-9;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;deu;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;eng;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;eng;2;7;7;7;7;7;7;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;eng;2;5;5;5;5;6;5;4;5;5;4;4;4;5;5;5;5;5;5;4;4;4;4;4;1;6;i don't get much exercise;0;2;2;-2;i don't exercise much;1;49;3;8;;4;;10;4;3
121;deu;2;6;6;6;5;5;5;6;6;5;6;6;6;6;6;5;5;4;5;6;5;5;6;5;3;1;;;2;7;-9;;2;35;50;6;;4;;8;2;2
122;deu;2;5;4;6;6;6;6;6;5;6;5;6;6;6;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;
123;eng;2;5;6;6;7;6;5;4;6;5;6;6;6;5;6;4;6;5;6;4;4;4;6;3;5;6;walking;60;2;3;-2;not completing the physical activity goal consistently;2;65;3;8;;4;;10;4;3
124;deu;2;6;6;6;7;7;5;7;7;6;6;7;7;6;7;6;7;6;7;7;6;6;7;7;4;5;;6;1;5;-2;Ziele im Sport zu setzen spornt mich an und hilft mir dabei Fortschritte zu erzielen, indem ich mich gezielt auf einzelne Bereiche und Übungen fokussiere. Die Kombination aus Zielen und Fokus ermöglicht mir langfristigen Fortschritt. Ich merke, dass ich auf diese Weise vorankomme, was es mir erleichtert auch Ziele in Angriff zu nehmen, die in weiter Ferne liegen;1;31;81;8;;4;;9;8;4
125;deu;2;5;6;6;5;6;5;5;5;6;5;6;6;5;5;4;6;6;6;6;4;4;5;4;8;5;;3;2;4;-2;Aufgrund meiner Situation im privaten kann ich mich im Bereich Sport gerade nicht ganz auf meine Ziele konzentrieren;1;33;81;8;;4;;7;4;1
126;deu;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;deu;2;7;7;7;5;6;6;5;7;5;6;7;6;6;7;7;6;7;7;5;6;5;6;6;14;5;;3;1;6;-2;Weil ich absolut zielgerichtet bin;2;32;81;8;;4;;10;5;3
128;deu;2;4;6;5;6;5;5;6;6;6;5;4;5;5;5;6;6;6;6;7;5;3;2;2;12;5;;1;1;7;-2;Weil Crossfit meine größte Leidenschaft ist und ich mit dieser sportlichen Aktivität nicht nur gut und gesund bleiben sondern auch stärker, besser werden möchte, bestimmte Skills im CF erreichen möchte;1;26;81;8;;4;;5;8;1
129;deu;2;6;6;6;7;6;5;7;7;6;6;6;7;6;6;6;6;7;7;7;5;6;6;6;4;5;;3;2;5;-2;Ich mir zwar Ziele setze, aber das Training keinesfalls konsequent danach ausrichte.;1;44;81;8;;4;;10;1;4
130;deu;2;7;7;5;7;7;5;6;7;7;5;6;7;4;7;4;5;7;7;7;7;5;7;3;7;5;;3;1;7;-9;;1;24;81;7;;8;Student und Selbstständig ;5;8;
