CASE;LANGUAGE;SC01;GS01_01;GS01_02;GS01_03;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CS01_01;CS01_02;CS01_03;CS01_04;CS01_05;CS01_06;CS01_07;FW01_01;FW01_02;FW01_03;FW01_04;CW01_01;CW01_02;CW01_03;CW01_04;CF01_06;CF02;CF02_06;CF03_01;CF04;CF05_01;CF06;CF06s;SD01;SD02_01;SD03_01;SD04;SD04_09;SD05;SD05_08;SD06;SD07;SD08
203;deu;2;5;6;6;5;6;5;5;5;3;6;6;5;6;6;4;6;6;4;6;3;3;5;3;5;5;;4;2;6;-2;Ich mich selber gut einschätzen kann und weiss wo meine Grenzen liegen. So kann ich auch meine Ziele hoch setzen aber erreichbar.;1;25;FL;2;;8;Praktikantin;6;8;
204;deu;2;6;6;5;7;6;6;5;7;7;5;7;7;6;7;7;6;7;7;4;5;5;4;1;6;5;;6;2;6;-2;Ziele essentiell für Entwicklung sind;1;32;80;8;;4;;7;6;4
205;deu;2;7;6;7;7;6;6;5;6;6;6;7;7;7;6;5;7;7;6;7;6;6;7;6;2;2;;10;2;2;-2;fuer mich ist Sport ein Ausgleich. Ich setzte mir dort weniger konkret-langfristige Ziele als im Beruf.;1;33;45;8;;4;;10;5;4
206;eng;2;6;6;6;7;7;7;6;7;7;6;6;7;6;6;7;6;7;6;5;3;6;6;7;3;5;;0,7;2;5;-2;I'm still learning some of the movements so do not have very clear goals yet.;2;36;35;9;Master of Science;4;;9;6;4
207;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;deu;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;deu;2;6;5;5;5;5;5;5;6;4;5;6;5;6;5;4;5;5;4;5;4;6;5;4;4;5;;0,5;2;3;-2;ich mir als CF- Neuling noch keine konkreten Ziele setze. Gehe hin weil es Spaß macht und ich mich fitter fühle.;1;29;80;7;;3;;3;4;
210;deu;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;10;5;;5;1;5;-2;Nur mit einem Plan erreicht man Ziele schnell;2;31;81;7;;4;;9;10;4
211;deu;2;5;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;eng;2;6;6;7;6;6;6;6;6;4;5;6;5;5;6;6;5;5;6;5;6;6;5;6;5;1;;40;1;4;-2;I really don't have a goal when it comes to running, such as times or races. I just enjoy running for pleasure.;2;50;48;9;Masters Degree;8;Retired, Just finished teaching certficate;10;3;
213;eng;2;5;5;5;4;5;4;5;5;5;3;5;5;5;5;5;5;4;4;4;4;4;4;3;;5;;3;2;5;-2;I like to see  progresses;1;44;80;6;;4;;10;1;4
214;deu;2;7;7;7;6;7;7;7;5;7;7;7;7;7;7;5;7;7;7;7;7;5;4;6;12;1;;3;2;5;-2;Crossfit andere sportlich Ziele erleichtert;2;34;80;8;;4;;10;5;2
