CASE;STARTED;AZ01_01;AZ01_02;AZ01_03;AZ01_04;AZ01_05;AZ01_06;AZ01_07;AZ01_08;AZ01_09;AZ01_10;AZ01_11;AZ01_12;AZ01_13;AZ01_14;AZ01_15;AZ02_01;AZ03_01;AZ04_01;AZ05_01;AZ05_02;AZ05_03;AZ05_04;AZ05_05;AZ05_06;AZ06_01;AZ06_02;AZ07_01;KQ01_01;KQ01_02;KQ01_03;KQ01_04;KQ01_05;KQ01_06;KQ01_07;KQ01_08;FQ01_01;FQ01_02;FQ01_03;FQ01_04;FQ01_05;FQ01_06;FQ01_07;FQ01_08;FQ01_09;FQ01_10;FQ01_11;FQ01_12;FQ01_13;FQ01_14;FQ01_15;FQ01_16;BK01_01;BK02_01;BK03_01;BK03_02;BK03_03;BK03_04;WL01_01;WL01_02;WL01_03;WL01_04;WL01_05;GE02_01;GE03_01;GE03_02;GE03_03;SD01;SD03_01;SD03_02;SD04;SD05_01
449;31.07.2018 16:33;5;2;1;5;3;5;1;2;2;2;2;5;4;1;4;5;3;4;5;5;4;3;4;5;4;5;5;5;3;4;5;4;3;4;5;3;3;5;5;5;4;5;4;4;5;5;5;5;4;4;5;5;5;2;1;5;2;5;2;5;3;4;3;3;3;4;2;1;0;8;39
450;31.07.2018 16:45;5;1;1;5;4;3;3;1;1;1;1;5;5;5;3;4;4;3;4;4;5;5;3;3;3;4;5;3;2;4;3;2;3;4;3;3;2;3;4;4;4;4;5;2;2;2;4;3;3;4;5;4;4;4;3;4;2;6;1;6;6;6;1;5;5;5;2;9;10;5;42
457;31.07.2018 18:22;4;2;2;3;4;2;3;3;3;3;3;3;2;4;3;3;3;4;3;3;3;2;2;2;1;2;3;5;3;4;3;3;3;4;5;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;5;4;3;3;4;5;5;5;5;2;2;4;5;2;;30;14;50
461;31.07.2018 19:34;4;1;1;4;5;1;3;1;1;3;1;2;1;5;1;4;2;5;4;4;5;3;4;2;1;5;4;4;3;5;4;4;5;4;5;4;2;3;4;5;5;5;5;3;4;5;4;3;4;4;4;5;4;3;2;4;2;6;1;6;6;5;3;2;3;3;2;2;1;8;36
471;01.08.2018 07:20;2;5;2;4;3;2;4;3;4;4;5;4;2;4;3;3;3;4;4;4;2;4;4;4;3;4;4;5;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;2;4;4;4;1;1;1;5;2;3;2;5;5;4;4;4;4;2;3;1;;9;21;47
474;01.08.2018 10:27;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;2;;1;5;55
485;01.08.2018 18:01;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;3;1;2;1;2;3;3;3;3;2;1;1;1;1;2;0;2;28
486;01.08.2018 18:03;4;2;2;5;5;5;2;2;2;3;2;5;5;5;2;4;2;4;4;2;2;4;4;4;4;4;4;3;1;1;2;3;3;4;2;4;4;4;5;5;5;5;5;4;4;2;2;2;4;4;2;3;3;5;5;3;4;5;2;5;6;5;5;2;2;3;1;;40;5;59
487;01.08.2018 18:04;3;4;3;3;4;3;3;3;3;3;3;3;3;3;4;3;3;2;3;4;3;3;3;3;3;3;3;3;4;3;2;3;4;3;4;2;3;4;3;3;1;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;2;2;3;3;18;21
488;01.08.2018 18:15;3;5;4;1;5;2;2;4;4;5;5;2;2;2;5;1;5;1;1;1;1;3;2;1;2;1;1;5;5;1;4;1;4;4;1;1;2;2;2;3;2;2;2;2;2;4;2;2;1;1;1;1;2;3;2;2;2;3;2;4;4;4;4;2;2;2;1;;6;16;24
489;01.08.2018 22:16;3;3;4;4;4;2;2;4;4;4;3;5;3;4;2;3;3;3;4;5;5;5;5;2;4;4;3;3;3;2;3;3;3;4;4;2;2;2;3;3;3;2;4;3;4;4;3;4;4;4;4;2;3;5;3;2;2;4;5;4;4;4;2;2;2;2;2;11;0;5;51
490;01.08.2018 22:16;4;2;1;5;5;3;1;1;2;1;4;4;4;5;3;4;4;4;4;3;4;4;5;5;3;4;4;4;4;5;4;3;4;3;3;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;2;2;5;2;5;1;6;5;5;5;2;2;1;2;11;0;8;22
498;02.08.2018 10:25;4;1;1;4;4;4;2;2;3;3;3;5;5;5;1;5;2;5;4;4;4;4;4;4;4;4;4;5;4;5;4;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;2;5;4;4;2;5;5;5;3;3;4;3;1;7;0;8;31
500;02.08.2018 15:09;4;2;1;4;2;1;3;2;3;2;2;4;4;4;1;3;5;3;3;2;4;3;4;4;2;2;3;4;3;4;3;3;4;3;5;4;5;NA;4;4;4;3;4;4;4;5;5;5;4;4;4;4;4;2;2;4;1;5;2;5;5;5;3;3;3;4;2;2;0;5;22
501;02.08.2018 16:13;3;3;2;3;2;4;1;1;2;2;2;1;1;1;4;3;3;3;3;3;3;2;4;4;3;1;2;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;5;5;3;2;4;2;5;2;5;5;5;3;4;4;4;2;3;1;5;62
505;03.08.2018 00:50;4;3;1;4;4;3;1;4;3;5;3;4;3;2;4;4;3;4;3;2;4;2;4;4;2;3;3;5;4;5;4;5;5;5;5;5;5;3;4;5;5;5;5;4;5;5;5;5;5;5;5;4;4;5;3;4;3;3;3;3;2;2;3;3;3;4;2;3;1;5;41
507;03.08.2018 06:22;4;1;1;4;1;1;1;2;5;5;3;4;1;1;2;4;2;5;2;2;3;3;3;5;1;3;3;3;3;5;3;5;5;5;5;3;3;3;5;5;5;3;1;3;4;4;4;5;4;4;4;4;4;5;3;3;3;4;1;5;3;5;3;5;5;4;2;;2;5;51
510;03.08.2018 11:03;3;2;2;1;3;2;3;4;1;3;1;5;1;2;5;3;3;3;3;3;5;5;4;5;1;3;5;5;2;5;4;4;5;5;5;3;3;3;3;4;4;5;5;4;5;4;3;5;4;5;5;4;5;5;2;5;1;5;1;6;6;4;1;5;5;5;2;;15;5;34
514;05.08.2018 13:10;2;5;2;4;2;1;5;5;4;4;4;3;2;3;3;2;5;1;1;1;1;2;2;1;5;3;2;2;1;1;2;2;2;3;3;2;2;3;2;3;2;3;4;1;2;2;1;1;1;2;3;1;2;5;4;2;4;2;3;4;4;4;4;3;1;1;2;;22;5;44
515;05.08.2018 13:10;4;2;1;3;5;5;1;3;4;3;4;5;4;5;1;4;4;2;4;3;3;3;4;5;5;4;4;4;3;5;3;2;4;3;5;4;5;4;5;5;4;5;5;4;5;5;5;5;3;5;4;3;5;4;3;4;2;4;5;3;4;5;4;5;2;1;1;;2;4;30
517;05.08.2018 13:19;1;5;2;3;3;2;5;4;4;4;4;5;2;1;1;2;5;1;3;1;3;2;1;1;3;3;3;2;1;2;1;1;1;2;1;1;1;3;3;4;3;1;5;2;2;2;2;1;2;3;2;1;2;5;5;2;2;1;2;4;2;2;5;3;1;1;1;;25;3;40
530;05.08.2018 13:36;4;5;2;3;2;1;4;4;5;5;2;3;2;1;1;3;5;3;3;1;1;2;2;1;1;3;2;4;3;3;4;4;5;5;4;2;2;4;4;4;3;4;4;2;4;2;2;2;3;3;3;4;4;2;4;4;3;3;2;2;4;4;5;5;3;3;2;;1;5;54
541;05.08.2018 14:06;3;3;3;3;4;4;1;1;1;1;2;3;3;3;2;4;3;3;4;3;4;4;2;2;3;3;3;5;4;5;5;4;4;4;4;3;3;2;2;3;3;5;3;3;3;3;NA;2;2;2;1;3;3;4;4;5;3;4;1;4;3;3;1;5;5;5;1;;35;5;51
549;05.08.2018 14:16;5;1;1;5;4;4;1;3;3;3;1;5;4;3;1;5;2;4;5;5;4;5;5;5;5;4;4;5;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;4;5;3;5;5;5;5;5;3;5;3;2;5;1;4;2;3;4;5;2;4;4;4;1;8;0;1;53
550;05.08.2018 14:19;4;2;5;4;4;4;1;2;4;2;2;5;5;5;2;4;3;3;3;4;4;4;NA;NA;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;3;4;3;2;3;4;2;5;4;2;3;2;3;3;3;1;;4;8;35
551;05.08.2018 14:21;5;1;1;5;5;3;3;1;3;4;2;5;5;3;3;5;1;5;4;4;4;5;5;5;5;5;5;3;5;5;5;4;4;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;3;2;5;2;5;6;6;3;2;2;3;2;;1;21;53
576;05.08.2018 15:46;3;2;2;5;3;4;1;2;2;2;1;3;4;1;1;5;3;4;3;4;5;2;4;3;3;4;4;5;5;3;3;5;5;5;5;3;5;4;3;5;4;5;5;4;5;4;5;2;2;4;4;4;3;3;2;4;3;4;3;5;5;5;4;4;2;2;1;7;1;21;30
595;05.08.2018 16:20;3;2;1;1;2;2;3;1;3;3;4;5;3;5;1;5;4;5;3;2;4;4;4;3;2;3;3;3;4;4;3;3;4;2;3;4;4;4;4;4;4;4;5;5;4;3;3;4;4;4;2;4;4;3;4;4;5;5;2;5;4;3;1;2;NA;1;2;;9;21;60
597;05.08.2018 16:25;5;1;1;4;4;3;2;1;3;1;1;5;4;5;1;4;3;2;5;3;4;4;5;5;2;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;5;2;5;3;4;2;3;2;5;5;4;2;1;1;5;35
609;05.08.2018 17:56;4;1;1;4;2;1;3;2;1;1;1;4;4;4;2;4;3;1;3;3;3;2;5;5;1;2;2;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;3;4;4;3;3;3;2;4;5;5;2;4;4;4;2;;18;5;46
610;05.08.2018 18:00;1;5;1;1;2;2;1;4;3;3;4;2;1;4;2;1;5;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;2;1;3;3;3;3;1;2;2;3;2;2;2;2;3;2;1;2;5;4;1;5;3;1;3;3;3;1;5;5;5;1;3;1;21;55
620;05.08.2018 18:49;4;2;2;4;4;3;1;2;NA;2;3;5;3;5;4;3;5;3;2;2;5;3;4;3;1;4;5;4;5;4;4;5;4;5;5;4;4;4;4;5;4;5;5;4;4;5;5;4;4;5;4;4;4;3;4;4;2;5;2;6;6;5;3;3;3;4;2;1;4;11;41
629;05.08.2018 19:42;5;1;1;5;4;4;1;2;3;2;2;5;4;4;1;5;3;4;5;5;4;4;4;4;4;4;4;5;5;4;4;4;4;5;5;4;4;4;4;4;5;5;5;4;4;4;5;4;4;4;4;4;4;3;2;5;1;4;2;5;5;5;2;3;3;4;1;30;2;10;54
633;05.08.2018 20:12;4;2;1;4;4;4;2;2;2;2;2;4;4;4;2;4;3;4;4;4;4;4;4;4;3;4;4;5;4;5;5;5;5;5;5;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;3;4;2;3;4;4;3;2;2;3;2;;12;21;47
636;05.08.2018 20:53;3;4;3;3;2;2;4;4;3;4;4;4;2;3;3;2;3;3;2;1;2;2;1;2;2;2;2;2;2;2;2;3;2;3;3;2;1;2;3;3;3;2;4;2;3;2;2;2;1;3;3;2;1;2;2;2;2;3;2;3;3;2;3;3;4;4;2;;5;5;38
642;05.08.2018 21:12;4;2;4;2;2;2;2;3;3;3;3;3;3;3;3;3;4;2;3;2;3;2;2;2;4;3;3;4;2;5;3;2;3;3;5;2;2;5;5;5;4;4;5;4;4;5;5;5;5;5;5;4;3;2;3;4;3;3;3;3;3;3;3;2;3;3;2;;15;2;33
649;05.08.2018 22:20;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;4;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;2;1;2;21;33
671;06.08.2018 10:57;3;1;3;3;3;5;4;3;3;3;3;4;3;4;3;3;2;2;4;4;4;5;4;3;2;3;3;4;3;4;4;5;5;4;5;3;4;4;3;4;4;5;3;3;4;4;5;4;3;3;1;3;3;4;3;4;3;5;2;6;2;3;2;5;4;4;2;0;3;21;61
673;06.08.2018 11:29;4;2;1;5;2;1;1;2;4;4;4;5;1;1;5;2;4;3;3;1;2;1;2;4;1;1;1;5;4;4;3;3;4;5;5;5;3;3;3;5;5;5;5;1;2;3;5;5;3;3;2;4;4;5;4;3;4;2;4;3;5;3;5;5;3;2;1;9;1;5;26
678;06.08.2018 13:25;4;2;2;4;4;2;2;2;3;4;4;5;4;4;2;4;2;4;3;2;2;2;3;4;2;3;3;3;2;4;2;2;2;2;5;2;2;2;5;5;5;4;4;3;2;2;3;2;3;4;3;3;3;4;4;4;2;4;3;5;5;5;2;3;3;4;1;;2;21;27
680;06.08.2018 14:20;4;4;3;4;5;4;4;4;5;4;3;5;4;5;4;4;4;4;4;4;3;4;4;4;4;4;5;4;3;5;5;5;4;5;3;4;5;3;4;5;5;5;5;4;5;4;4;5;5;5;5;5;5;4;4;5;2;6;4;5;5;5;4;4;4;4;2;4;23;5;64
688;06.08.2018 17:56;1;5;1;2;2;1;1;5;5;4;5;5;2;4;4;2;5;5;1;1;2;2;2;2;5;3;4;3;3;5;3;2;2;2;4;2;3;3;4;4;4;5;5;3;3;1;3;4;2;3;4;1;2;5;4;4;4;1;6;3;3;1;5;4;1;1;1;;5;2;45
691;06.08.2018 18:55;4;5;4;2;2;2;3;3;2;4;4;2;2;3;3;3;5;5;2;2;4;4;2;4;3;2;4;2;2;3;2;2;2;2;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;3;2;5;4;3;5;5;2;5;5;5;4;2;3;2;2;;5;8;35
693;06.08.2018 19:52;4;2;2;4;5;4;1;2;2;2;4;5;4;5;1;4;2;5;4;3;5;2;5;5;3;3;4;4;5;5;5;5;5;5;5;4;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;4;4;2;1;4;1;5;3;5;5;4;4;2;3;3;NA;6;0;5;27
702;07.08.2018 10:07;5;1;1;5;5;4;2;2;2;2;2;4;4;3;2;5;2;4;4;4;4;4;4;4;3;4;5;5;5;5;4;4;4;4;4;5;5;5;4;4;3;3;4;4;4;4;4;4;4;4;4;5;5;2;4;5;1;6;2;5;6;5;2;4;5;4;1;6;6;18;56
705;07.08.2018 10:15;2;5;4;2;2;1;4;3;5;3;4;1;2;4;3;2;5;1;1;1;3;1;2;3;2;3;2;2;3;4;4;3;3;4;4;2;3;4;3;4;4;4;4;3;3;2;2;3;3;3;3;3;2;4;3;2;4;3;4;2;2;2;5;3;1;2;1;8;5;21;41
707;07.08.2018 10:44;4;2;1;4;4;4;1;1;3;3;1;4;4;4;1;4;2;3;4;4;4;4;4;4;3;4;4;4;4;3;4;4;5;4;4;4;4;5;4;5;4;4;5;4;4;4;5;3;3;4;1;4;4;4;1;4;1;3;3;3;3;3;1;4;4;4;2;;29;11;62
709;07.08.2018 10:46;2;5;4;2;1;1;5;1;1;1;4;2;3;4;4;3;4;5;1;1;4;2;1;1;2;2;3;2;1;1;1;2;1;1;4;2;1;2;3;4;3;2;3;3;3;2;4;3;3;3;2;2;3;4;3;3;5;4;2;4;4;4;3;1;3;3;2;8;12;21;34
718;07.08.2018 10:54;3;2;2;2;3;3;1;2;3;3;5;3;1;2;2;3;4;4;3;3;4;4;2;2;3;3;3;3;2;3;3;2;4;3;4;2;2;3;3;3;3;5;4;2;4;2;2;2;2;3;4;4;3;3;2;4;3;3;2;4;4;6;3;2;4;4;2;;6;21;38
724;07.08.2018 10:58;2;4;2;4;3;1;3;2;4;3;4;4;2;3;3;3;4;2;3;2;4;4;4;5;2;2;2;4;4;2;3;2;4;4;4;2;5;4;4;4;4;5;4;3;2;4;4;4;2;3;5;3;4;2;2;4;1;2;4;3;2;1;1;3;5;4;2;9;0;18;24
725;07.08.2018 10:59;4;1;1;NA;4;4;1;3;2;2;1;5;4;4;1;4;2;5;4;4;4;4;3;3;4;4;5;4;3;4;3;3;3;4;4;4;4;4;4;5;5;5;5;4;4;3;4;4;4;4;3;4;4;3;3;4;3;5;2;5;5;5;3;4;4;3;1;;20;1;54
726;07.08.2018 11:00;1;5;2;3;4;2;4;3;4;4;5;3;2;2;5;1;4;3;3;2;3;3;1;2;1;3;3;2;1;3;1;1;1;2;3;1;1;1;2;1;3;3;1;1;1;1;1;2;1;3;2;1;2;4;2;1;4;4;3;5;5;4;3;3;2;4;2;1;19;15;38
741;07.08.2018 11:24;4;3;2;3;2;1;3;2;4;3;5;4;3;4;4;2;4;3;3;3;4;2;4;2;2;3;3;2;5;5;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;4;3;3;3;4;3;2;5;4;4;4;4;2;2;2;11;7;21;29
744;07.08.2018 11:27;3;4;3;2;2;1;3;2;3;3;4;3;2;4;5;2;4;2;3;2;4;3;2;3;1;2;2;2;2;3;2;3;3;3;4;3;3;2;4;3;3;4;3;2;3;3;3;4;4;3;4;2;3;3;4;3;4;6;2;5;5;5;3;4;2;2;2;10;2;15;26
750;07.08.2018 11:37;4;1;1;4;4;4;1;2;2;2;1;4;3;3;2;4;2;4;4;4;4;3;4;4;4;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5;4;4;5;5;5;5;5;4;4;5;4;4;5;2;4;5;1;5;1;5;5;5;4;4;3;4;1;3;7;21;72
762;07.08.2018 11:47;4;2;3;3;4;2;2;3;4;3;3;4;3;2;3;3;2;3;3;2;2;4;4;4;2;4;4;4;4;3;3;4;4;4;4;4;3;3;3;4;4;4;4;3;3;3;3;4;4;4;3;4;4;3;2;4;2;4;3;4;5;4;4;4;2;3;2;;28;8;49
770;07.08.2018 11:56;1;5;3;2;3;1;3;3;5;4;4;2;1;1;1;3;5;3;2;1;2;1;1;1;2;2;5;2;2;1;1;1;3;2;3;1;3;1;2;4;2;3;2;1;2;2;2;1;1;2;1;1;2;2;5;1;5;3;3;2;3;3;3;5;5;4;2;7;0;18;27
777;07.08.2018 12:04;4;3;2;4;3;1;2;3;2;2;2;4;3;4;2;4;1;4;4;4;3;2;4;3;1;4;3;3;3;4;3;2;2;3;4;3;4;3;4;4;3;2;4;4;3;3;3;2;2;3;3;4;3;3;3;4;1;3;4;2;4;4;4;2;2;2;2;10;10;19;50
790;07.08.2018 12:14;4;1;4;3;1;2;2;1;5;1;5;5;2;5;5;3;4;5;2;2;1;3;1;4;5;2;1;2;2;2;5;2;4;4;1;3;3;1;1;1;1;5;5;2;1;2;3;5;1;3;3;5;3;5;2;1;1;1;6;1;1;1;1;5;5;5;2;;2;8;23
792;07.08.2018 12:16;4;1;3;2;3;2;2;3;3;3;2;3;1;3;2;2;4;1;2;2;2;3;2;2;1;2;1;3;4;2;3;3;2;2;2;3;2;3;2;3;2;2;4;2;3;2;2;2;1;3;2;2;3;4;4;3;3;3;3;3;3;3;4;3;3;3;1;18;1;19;56
797;07.08.2018 12:20;5;1;1;5;4;3;2;2;3;3;1;5;5;5;1;5;1;5;4;4;4;5;4;3;3;5;5;3;3;3;3;3;3;3;3;4;4;4;4;3;2;5;5;4;4;4;5;3;3;4;4;4;4;3;2;4;4;5;5;5;5;5;4;5;4;4;1;;37;18;53
805;07.08.2018 12:29;4;2;1;4;5;3;3;2;2;1;1;5;4;4;2;4;4;2;2;3;2;3;5;4;3;3;5;5;4;5;4;4;4;4;3;4;5;4;4;NA;5;5;5;5;5;5;5;4;3;4;5;5;4;2;3;4;2;4;1;4;3;6;5;2;3;2;1;2;11;21;28
812;07.08.2018 12:38;1;1;5;1;1;3;5;5;5;5;5;5;1;3;3;3;5;3;2;3;3;3;1;1;2;4;5;4;3;2;5;3;3;3;5;3;2;2;3;3;3;3;5;2;2;1;1;1;1;1;1;3;3;5;3;2;2;1;1;2;3;3;1;5;5;5;2;;12;9;37
823;07.08.2018 12:49;2;2;3;2;3;2;5;1;3;4;5;1;1;3;2;3;3;1;1;1;2;1;3;2;1;1;2;4;3;2;1;3;3;4;2;2;4;2;2;3;2;2;3;3;3;4;3;3;2;3;2;2;3;5;5;3;2;3;2;3;2;3;5;5;1;1;2;6;7;7;52
824;07.08.2018 12:49;3;2;1;4;3;2;1;4;5;4;5;3;4;2;1;4;5;4;3;3;4;4;4;2;2;4;5;4;5;3;2;2;4;4;5;5;5;5;5;5;3;3;5;4;5;5;5;3;2;4;4;4;3;1;4;4;1;1;4;1;2;2;4;1;2;1;2;6;1;5;25
825;07.08.2018 12:51;2;4;3;1;1;1;5;3;3;5;5;1;1;2;5;1;5;1;2;2;1;4;1;1;1;3;3;1;2;2;2;2;2;4;2;1;1;2;2;3;3;3;5;1;2;1;2;2;1;2;2;1;3;5;5;1;5;3;3;3;3;3;5;2;4;1;2;;10;8;46
839;07.08.2018 13:04;3;2;4;2;1;1;2;1;5;3;4;2;1;4;3;3;5;4;1;2;2;2;1;1;2;2;3;3;2;1;2;2;2;3;2;2;2;2;3;3;2;4;3;1;1;1;2;1;1;2;2;1;2;5;5;3;2;5;2;5;5;5;4;1;2;3;2;;10;5;26
859;07.08.2018 13:37;1;5;2;3;4;1;5;3;4;3;4;2;1;2;3;2;5;4;3;3;2;3;1;1;3;2;5;2;2;1;2;2;1;1;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;2;5;4;2;5;3;3;2;3;2;3;5;3;2;1;1;34;21;54
866;07.08.2018 13:51;2;2;2;2;1;2;5;3;3;2;2;1;1;4;4;2;5;1;3;2;4;2;1;1;1;1;1;3;3;2;NA;1;3;3;2;1;1;1;2;2;2;4;1;3;1;4;1;1;1;1;2;1;1;5;4;1;3;5;5;5;5;5;3;4;2;3;2;;45;7;62
872;07.08.2018 13:56;4;3;2;5;1;1;4;2;4;3;5;5;5;5;3;4;4;2;2;1;4;3;4;4;4;5;5;1;2;4;1;1;1;1;5;4;3;5;5;5;3;5;5;4;4;1;5;5;4;5;5;4;5;2;2;2;5;6;1;5;5;5;5;3;1;1;2;;1;21;27
873;07.08.2018 14:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;4;4;5;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;3;15;39
874;07.08.2018 14:02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;;26;8;48
876;07.08.2018 14:05;1;1;2;5;4;4;4;2;2;2;2;2;2;2;2;1;2;5;2;2;2;2;2;2;4;4;3;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;8;39
879;07.08.2018 14:08;5;1;5;5;5;5;1;1;4;1;3;5;5;5;1;5;1;5;5;5;NA;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;1;4;3;5;3;5;2;3;5;5;2;;18;5;47
885;07.08.2018 14:22;3;3;1;5;3;4;1;1;4;4;1;5;4;4;2;5;3;3;3;4;4;2;2;2;3;4;3;2;1;4;2;2;3;4;4;1;1;5;5;5;5;5;5;1;1;1;4;5;4;4;5;5;5;4;3;3;2;2;5;5;5;5;4;2;2;2;1;;2;14;49
888;07.08.2018 14:25;5;1;2;4;4;3;3;2;2;2;2;5;3;3;3;4;4;3;4;3;4;5;4;4;3;3;3;5;4;4;3;4;4;5;5;3;NA;3;4;5;4;4;4;4;4;5;4;4;4;4;3;5;5;2;2;NA;1;5;2;3;5;3;3;2;3;4;1;1;0;14;24
897;07.08.2018 14:45;3;3;4;3;2;2;2;1;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;5;4;4;4;4;2;3;3;3;3;4;5;4;5;4;4;3;4;4;3;4;4;4;4;4;4;4;3;3;1;11;10;14;61
905;07.08.2018 15:01;4;2;3;3;3;3;4;3;4;4;4;3;3;5;4;3;4;3;3;3;3;3;3;3;3;3;4;4;3;4;3;4;4;4;2;1;1;3;4;5;4;5;5;2;2;2;3;1;1;1;1;4;3;3;3;3;3;5;3;5;6;6;5;3;3;3;1;;7;16;35
907;07.08.2018 15:10;4;2;1;4;4;5;1;2;2;2;3;5;5;5;1;4;2;5;5;5;5;4;2;2;3;4;4;2;3;4;2;2;2;3;5;3;3;4;4;5;5;3;4;2;4;2;4;4;3;4;5;4;4;2;2;4;4;5;2;5;6;5;4;1;3;3;2;11;9;21;30
915;07.08.2018 15:21;4;5;1;5;4;4;5;2;3;3;1;3;3;3;2;4;4;1;4;4;5;1;2;2;2;2;3;5;5;4;4;4;3;3;3;3;3;3;3;2;3;4;5;3;3;3;3;3;1;3;3;1;3;3;3;5;3;5;5;5;5;5;4;4;4;4;1;;19;21;64
919;07.08.2018 15:36;4;1;1;4;5;2;4;1;3;3;1;5;4;4;1;5;1;5;2;3;4;4;3;3;1;5;4;4;2;4;4;4;4;2;4;4;4;4;4;5;4;4;5;3;4;4;4;4;4;4;3;5;4;1;1;4;1;4;1;5;5;5;3;1;3;5;2;6;11;21;55
922;07.08.2018 15:39;5;1;4;4;5;5;1;1;1;2;1;5;4;4;1;5;1;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;3;3;3;5;3;5;4;4;4;5;4;4;2;;10;8;41
923;07.08.2018 15:41;5;1;1;5;5;5;1;1;1;1;1;5;5;5;1;5;1;5;5;5;5;5;5;5;5;5;5;4;3;5;5;NA;4;NA;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;1;1;5;1;6;2;5;6;6;1;5;5;5;2;8;0;14;40
925;07.08.2018 15:51;5;1;1;5;5;5;1;1;4;3;1;5;5;5;1;5;1;5;3;3;5;5;5;5;3;5;5;5;5;5;5;4;3;5;5;4;5;5;5;5;4;4;5;4;5;5;5;4;4;4;3;5;4;2;2;5;1;5;2;5;5;5;1;5;5;5;1;5;0;6;54
929;07.08.2018 15:57;4;3;3;2;2;2;2;1;2;3;2;3;3;3;3;3;3;2;3;3;4;2;5;4;2;2;3;5;3;4;3;3;4;4;5;4;4;4;4;4;4;3;5;4;4;4;4;5;5;4;4;4;4;1;1;3;1;3;1;4;4;4;3;3;3;3;2;7;4;18;31
932;07.08.2018 16:03;5;1;1;5;5;5;2;4;4;4;1;5;3;4;1;5;3;4;5;4;5;5;5;4;3;4;5;5;5;5;5;5;4;4;5;3;3;5;4;5;5;5;5;1;1;3;4;5;4;4;5;5;5;2;2;5;2;6;3;6;6;5;5;3;3;3;1;;4;14;42
